                         District 01041928  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       28          5          11         0             0
                        Flensburg       25          8         121         0             0
              Herzogtum Lauenburg      112          0           0         0             1
                             Kiel      124          0         342        15             1
                           Lübeck       97          0           0         0             1
                       Neumünster       25          0          69         3             0
                    Nordfriesland       41          8         183         0             0
                      Ostholstein       39          0           0         0             0
                        Pinneberg      250          1           0        27             2
                             Plön       58          0           0         1             2
            Rendsburg-Eckernförde      128          0           0        17             2
              Schleswig-Flensburg       87          4         800         0             0
                         Segeberg      108         35           0         0             0
                        Steinburg       43          0           0         0             1
                         Stormarn      155         13         123        14             1
                          Hamburg     2437        860           0       180             8
                        Ammerland       93         26         241         0             1
                           Aurich       61         30         161         0             2
                     Braunschweig      169         43           0        30             1
                            Celle      102         36         174         6             0
                      Cloppenburg       38         12         185         1             0
                         Cuxhaven       56         23           0         3             0
                      Delmenhorst       24          7          51         2             1
                         Diepholz      166         72         300        20             3
                            Emden        8          3          22         0             0
                          Emsland      165         43         620         0             3
                        Friesland       12          1           0         0             0
                          Gifhorn       78          0         192         0             0
                           Goslar       61         14         171         4             1
                        Göttingen      229          0        1517         0             0
              Grafschaft Bentheim      101         26         360         0             1
                   Hameln-Pyrmont       79         13         151         8             2
                          Harburg      208         43           0         0             1
                       Heidekreis       30         10           0         1             0
                        Helmstedt       69         21         164         0             0
                       Hildesheim      172         90         297         7             0
                       Holzminden       62         17           0         0             0
                             Leer       44          9         123         2             1
                Lüchow-Dannenberg        9          1          57         0             0
                         Lüneburg      100         23           0         3             0
                 Nienburg (Weser)       38         13         156         3             0
                         Northeim       42         10           0         0             0
                        Oldenburg      119         32         308         0             1
                 Oldenburg (Oldb)      116          0         549         4             0
                        Osnabrück      267        115         235        72             3
                        Osnabrück      331        103         489         0             3
                        Osterholz       55         21          58         0             0
                            Peine       90         12          82         0             0
                  Region Hannover      911        190           0       187             8
                Rotenburg (Wümme)       58         21         132         7             1
                       Salzgitter       58          0          45         0             1
                       Schaumburg       59         24          43         1             0
                            Stade      123         58         148         0             0
                           Uelzen       26          6           8         0             0
                           Vechta      189          0         674         3             1
                           Verden       80         13           0         6             1
                      Wesermarsch       43          9           0         2             0
                    Wilhelmshaven        7          6          23         0             0
                         Wittmund       15          3          84         0             0
                     Wolfenbüttel       55          0           0         0             0
                        Wolfsburg      184          0           0        10            19
