                          District 26032101  Recovered  Quarantine  Critical  Total Deaths
               Landau in der Pfalz       19          0           0         0             0
             Ludwigshafen am Rhein       48          0           0         0             0
                             Mainz      115          0           0         0             0
                      Mainz-Bingen       84          0           0         0             0
                     Mayen-Koblenz      176          0           0         0             1
        Neustadt an der Weinstraße       42          0           0         0             1
                           Neuwied      112          0           0         0             1
                         Pirmasens       12          0           0         0             0
              Rhein-Hunsrück-Kreis       72          0           0         0             0
                  Rhein-Lahn-Kreis       64          0           0         0             1
                 Rhein-Pfalz-Kreis       57          0           0         0             0
                            Speyer       20          0          37         0             0
               Südliche Weinstraße       47          0           0         0             0
                      Südwestpfalz       30          0           0         0             0
                             Trier       29          1           0         7             0
                    Trier-Saarburg       45          0           0         0             0
                       Vulkaneifel       35          7           0         0             0
                   Westerwaldkreis      115          0        1020         0             1
                             Worms       55          1           0         0             0
                       Zweibrücken        5          0           0         0             0
                   Alb-Donau-Kreis      164          0           0         0             1
                       Baden-Baden       39         23           0         0             1
                          Biberach      187          0           0         0             0
                         Böblingen      398         10           0        24             5
                     Bodenseekreis      172         37         513         8             0
          Breisgau-Hochschwarzwald      266          0           0         0             2
                              Calw      231          0           0         0             3
                       Emmendingen      178          0           0         0             6
                          Enzkreis       58          0           0         0             1
                         Esslingen      596          0           0         0             3
              Freiburg im Breisgau      285          0           0         0             5
                      Freudenstadt       99          0          13         3             0
                         Göppingen      264          0           0        10             3
                        Heidelberg      122         23         358         0             0
                        Heidenheim      163         12           0         0             1
                         Heilbronn       81          0           0         0             1
                         Heilbronn      279         14           0         0             4
                    Hohenlohekreis      302          0        1906         0             3
                         Karlsruhe      111         18           0         0             0
                         Karlsruhe      363         37           0         0             1
                          Konstanz      118          6         100         4             1
                           Lörrach      163          0           0         0             3
                       Ludwigsburg      507          6           0        21             2
                 Main-Tauber-Kreis       78         23           0         0             0
                          Mannheim      179          0           0         0             0
             Neckar-Odenwald-Kreis       63          0           0         0             1
                      Ortenaukreis      180          9           0         0             4
                       Ostalbkreis      348          0           0         0             0
                         Pforzheim       25          0           0         0             0
                           Rastatt      196          0           0         0             1
                        Ravensburg      285         34           0         0             0
                   Rems-Murr-Kreis      286          2           0         0             1
                        Reutlingen      206          1           0         0             4
                Rhein-Neckar-Kreis      413         61        1274         0             3
                          Rottweil       86          0           2         4             1
                   Schwäbisch Hall      245          0           0         0             0
            Schwarzwald-Baar-Kreis      133          0          80         0             0
                       Sigmaringen      207         32           0         0             2
                         Stuttgart      565          8        1500         0             3
                          Tübingen      524          0           0        19             2
                        Tuttlingen       65          0          33         7             1
                               Ulm      100          0           0         0             0
                          Waldshut       70          4           0         0             1
