                         District 31031046  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       28          6          11         0             0
                        Flensburg       23          0         121         0             0
              Herzogtum Lauenburg       92          0           0         0             1
                             Kiel      121          0         342        15             1
                           Lübeck       88          0           0         0             1
                       Neumünster       19          0          55         1             0
                    Nordfriesland       40          8         216         0             0
                      Ostholstein       23          0           0         0             0
                        Pinneberg      205          1           0        27             2
                             Plön       54          0           0         1             1
            Rendsburg-Eckernförde      112          0           0        17             1
              Schleswig-Flensburg       69          3         800         0             0
                         Segeberg       80         16           0         0             0
                        Steinburg       36          0           0         0             1
                         Stormarn      132         12         106        14             0
                          Hamburg     2214          0           0       194             7
                        Ammerland       82         15         196         0             0
                           Aurich       54         27         143         0             2
                     Braunschweig      144         43           0        27             0
                            Celle       89         28         179         1             0
                      Cloppenburg       39          9         203         1             0
                         Cuxhaven       54          7           0         2             0
                      Delmenhorst       20          5          92         0             1
                         Diepholz      138         62           0        28             2
                            Emden        7          2          34         0             0
                          Emsland      146         29         640         0             1
                        Friesland       10          1           0         0             0
                          Gifhorn       68          0         192         0             0
                           Goslar       60          9         160         6             0
                        Göttingen      200         13           0         0             0
              Grafschaft Bentheim       87          1         470         0             1
                   Hameln-Pyrmont       70         10         151         8             2
                          Harburg      156         39           0         0             1
                       Heidekreis       25         10           0         1             0
                        Helmstedt       60         17         164         0             0
                       Hildesheim      153         54         422         7             0
                       Holzminden       55         17           0         0             0
                             Leer       38          5         137         1             1
                Lüchow-Dannenberg        8          1          55         0             0
                         Lüneburg       82          3           0         4             0
                 Nienburg (Weser)       29          9         295         3             0
                         Northeim       40          7           0         0             0
                        Oldenburg      108         14         292         0             0
                 Oldenburg (Oldb)      107          0         415         4             0
                        Osnabrück      249         97         229        72             1
                        Osnabrück      288         75         462         0             2
                        Osterholz       49         16         106         1             0
                            Peine       77         11         219         0             0
                  Region Hannover      811          0           0       171             5
                Rotenburg (Wümme)       55         17         125         6             1
                       Salzgitter       53          0          45         0             1
                       Schaumburg       53         15          43         2             0
                            Stade      115         35         162         0             0
                           Uelzen       25          2           8         0             0
