                         District 06042028  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       40         11         332         0             1
                        Flensburg       28         10         142         0             1
              Herzogtum Lauenburg      155          0           0         0             2
                             Kiel      164         44         394         0             2
                           Lübeck      103          0           0         0             1
                       Neumünster       34          0          92         0             0
                    Nordfriesland       49          9         128         0             1
                      Ostholstein       52          0           0         0             0
                        Pinneberg      339          1           0         0             3
                             Plön       75          0           0         0             2
            Rendsburg-Eckernförde      166          0           0         0             6
              Schleswig-Flensburg       95         18         800         0             0
                         Segeberg      144         57           0         0             0
                        Steinburg       62         27         321         0             1
                         Stormarn      199         51         124         0             2
                          Hamburg     3088       1640           0        65            19
                        Ammerland      115         55         176         0             2
                           Aurich       72         38         154         0             3
                     Braunschweig      231         64           0         0             5
                            Celle      116         56         193         2             5
                      Cloppenburg       57         23         162         0             0
                         Cuxhaven       65         47           0         0             2
                      Delmenhorst       26         11          43         1             1
                         Diepholz      222         87         290         7             6
                            Emden       12          3          30         0             0
                          Emsland      201         72         700         0             3
                        Friesland       22         12           0         0             0
                          Gifhorn       99          0         192         0             0
                           Goslar       87         15         200         0             3
                        Göttingen      351         21        1738         0             9
              Grafschaft Bentheim      137         61         460         0             3
                   Hameln-Pyrmont       89         35         131         0             2
                          Harburg      291        100           0         0             2
                       Heidekreis       44         12           0         0             1
                        Helmstedt       84         24         164         0             0
                       Hildesheim      197        139         255         0             1
                       Holzminden       79         36           0         0             1
                             Leer       62         26         114         0             1
                Lüchow-Dannenberg       13          7          35         0             0
                         Lüneburg      122         61           0         0             0
                 Nienburg (Weser)       52         18         171         0             0
                         Northeim       62         20           0         0             0
                        Oldenburg      169         66         280         0             3
                 Oldenburg (Oldb)      159          2         612         0             0
                        Osnabrück      322        177         163        18             4
                        Osnabrück      520        188         451         0            10
                        Osterholz       60         28          72         0             0
                            Peine      110         36          90         0             4
                  Region Hannover     1165        366           0        48            14
                Rotenburg (Wümme)       73         26         135         0             1
                       Salzgitter       72         42         469         0             1
                       Schaumburg       81         31          48         0             0
                            Stade      153         99         118         0             2
                           Uelzen       29         15           8         0             0
                           Vechta      235         65         834         3             5
                           Verden      100         42           0         0             1
                      Wesermarsch       48         16           0         0             0
                    Wilhelmshaven       10          6          18         0             0
                         Wittmund       16          6          45         0             0
                     Wolfenbüttel       76          4           0         0             0
                        Wolfsburg      222          0           0         4            30
                           Bremen      370        149         138        13             9
                      Bremerhaven       25         12           0         0             0
                        Bielefeld      224         86        2380         8             1
                           Bochum      335        169         650        17            12
                             Bonn      412        103         806        18             3
                           Borken      681        264           0        12            15
                          Bottrop       66         32         143         0             2
                         Coesfeld      409        146           0         8             6
                         Dortmund      425        185           0        13             3
                         Duisburg      440        201        1186         0             3
                            Düren      352        163           0         0            12
                       Düsseldorf      649        241         332        37             7
                Ennepe-Ruhr-Kreis      279         96         479         5             3
                            Essen      515        205         635         0            16
                       Euskirchen      219         81         188         3             2
                    Gelsenkirchen      194         32           0         0             4
                        Gütersloh      487        243         202         8             9
                            Hagen      119         56           0         5             2
                             Hamm      263         86        1187         0             4
                        Heinsberg     1474        845           0         0            46
                          Herford      241         79           0         0             1
                            Herne       72         38           0         0             0
               Hochsauerlandkreis      403        166           0        10             2
                           Höxter      152         36           0         0             1
                            Kleve      304        118        1322         0             5
                             Köln     1792        880           0        72            33
                          Krefeld      269         95         968         8             1
                       Leverkusen      149         44         102         0             1
                            Lippe      496        111           0         0             5
                 Märkischer Kreis      231         51         828         0             5
                         Mettmann      615        250         266         0            14
                  Minden-Lübbecke      410        185           0         2             1
                  Mönchengladbach      296        128         491         0             5
              Mülheim an der Ruhr      107         49         200         0             3
                          Münster      586        316           0         0             3
             Oberbergischer Kreis      327        127         228         5             6
                       Oberhausen      114         34         144         2             0
                             Olpe      264        128         428        10             8
                        Paderborn      397         58         800         5             8
                   Recklinghausen      543        243           0         0             3
                        Remscheid       99         46         603         5             2
                 Rhein-Erft-Kreis      585        178         938        21            15
                Rhein-Kreis Neuss      491        280         640         0             6
                 Rhein-Sieg-Kreis      799        212        3000         0            10
       Rheinisch-Bergischer Kreis      294        151         601         0             3
              Siegen-Wittgenstein      188         42           0         2             4
                            Soest      260        111           0         3             2
                         Solingen      144         60         246         0             1
              Städteregion Aachen     1272        595           0         0            35
                        Steinfurt      702        245        1400         0            11
                             Unna      377        105           0         0             9
                          Viersen      406         94         220         0            10
                        Warendorf      347        216         500         0             3
                            Wesel      286        154           0         0             3
                        Wuppertal      354         85        1240         0             8
                       Bergstraße      232         64           0         0             1
                        Darmstadt       93         33           0         0             0
                Darmstadt-Dieburg      237        102           0         3             3
                Frankfurt am Main      590          0           0         0             6
                            Fulda      217         18           0         0             2
                           Gießen      170         49           0         0             0
                       Groß-Gerau      251         98           0         0             1
               Hersfeld-Rotenburg      136         27           0         0             9
                  Hochtaunuskreis      184          0           0         0             1
                           Kassel      103         49          38         0             2
                           Kassel      118         54          33        14             3
                  Lahn-Dill-Kreis      266         76         617         0             4
                 Limburg-Weilburg      201         98           0         0             1
                Main-Kinzig-Kreis      265         61           0         0             3
                Main-Taunus-Kreis      174         92           0         0             3
               Marburg-Biedenkopf      151         90           0         6             1
                    Odenwaldkreis      132         31           0         6            11
                        Offenbach      248         83           0         0             6
                Offenbach am Main       43         11          20         4             1
            Rheingau-Taunus-Kreis      153          0           0         0             0
               Schwalm-Eder-Kreis      282          0           0         0            10
                  Vogelsbergkreis       78         32           5         0             2
              Waldeck-Frankenberg       94          0           0         0             0
              Werra-Meißner-Kreis       31         13         100         0             0
                    Wetteraukreis      154         37           0        10             1
                        Wiesbaden      210         60         675         0             4
                        Ahrweiler       99         33         166         0             0
