                          District 27032231  Recovered  Quarantine  Critical  Total Deaths
                      Dithmarschen       20          0          11         0             0
                         Flensburg       21          0         121         0             0
               Herzogtum Lauenburg       71          0           0         0             1
                              Kiel       74          0         658         9             1
                            Lübeck       67          1           0         0             1
                        Neumünster       15          0          48         2             0
                     Nordfriesland       27          0         216         0             0
                       Ostholstein       23          0           0         0             0
                         Pinneberg      178          1           0        21             1
                              Plön       45          0           0         1             1
             Rendsburg-Eckernförde       89          0           0        17             0
               Schleswig-Flensburg       45          1           0         0             0
                          Segeberg       63          6           0         0             0
                         Steinburg       63          0           0         0             1
                          Stormarn       63          2          82        11             0
                           Hamburg       63          0           0       103             2
                         Ammerland       63         14         150         0             0
                            Aurich       63         18         132         0             0
                      Braunschweig       63         13           0         3             0
                             Celle       63         15         169         1             0
                       Cloppenburg       63          5           0         1             0
                          Cuxhaven       63          7           0         2             0
                       Delmenhorst       63          5          74         0             1
                          Diepholz       63         46           0        24             0
                             Emden       63          2          43         2             0
                           Emsland       63          8         640         0             1
                         Friesland       63          1           0         0             0
                           Gifhorn       63          0         116         0             0
                            Goslar       63          5         222         3             0
                         Göttingen       63          0           0         0             0
               Grafschaft Bentheim       63          1         500         0             0
                    Hameln-Pyrmont       63          6         140         6             0
                           Harburg       63         23           0         0             1
                        Heidekreis       63          0           0         1             0
                         Helmstedt       63          3         164         0             0
                        Hildesheim       63         34         494         3             0
                        Holzminden       63         11           0         0             0
                              Leer       63          5         184         1             1
                 Lüchow-Dannenberg       63          0          53         0             0
                          Lüneburg       63          3           0         2             0
                  Nienburg (Weser)       63          0          92         0             0
                          Northeim       63          6           0         0             0
                         Oldenburg       63          5         251         0             0
                  Oldenburg (Oldb)       63          0         320         4             0
                         Osnabrück       63         52         629        26             0
                         Osnabrück       63         31         952         0             1
                         Osterholz       63          6          96         0             0
                             Peine       63          0         219         0             0
                   Region Hannover       63          0           0        90             4
                 Rotenburg (Wümme)       63          6          58         6             0
                        Salzgitter       63          0          45         0             1
                        Schaumburg       63          0          43         1             0
                             Stade       63         26         243         0             0
                            Uelzen       63          2           8         0             0
                            Vechta       63          0         434         3             1
                            Verden       63          9           0         0             0
                       Wesermarsch       63          0           0         2             0
                     Wilhelmshaven       63          3           0         0             0
                          Wittmund       63          1         128         0             0
                      Wolfenbüttel       63          0           0         0             0
                         Wolfsburg       63          0           0         4            10
                            Bremen       63         48         138        14             2
                       Bremerhaven       63          5           0         1             0
                         Bielefeld       63         23        1860        10             0
                            Bochum       63         21           0        23             3
                              Bonn       63          6         671         7             1
                            Borken       63         47           0         0             4
                           Bottrop       63          5         184         0             1
                          Coesfeld       63         36           0        17             1
                          Dortmund       63         64           0         1             0
                          Duisburg       63          0         680        27             1
                             Düren       63         57           0        26             1
                        Düsseldorf       63         39         442        56             2
                 Ennepe-Ruhr-Kreis       63         23        1661         0             1
                             Essen       63         25        1378         0             6
                        Euskirchen       63          7         311         6             0
                     Gelsenkirchen       63          4           0         7             0
                         Gütersloh       63         65           0        19             1
                             Hagen       63         10           0         0             2
                              Hamm       63         13         865        11             1
                         Heinsberg       63        360          71         0            28
                           Herford       63         11           0         2             0
                             Herne       63          6           0         2             0
                Hochsauerlandkreis       63         26           0        16             0
                            Höxter       63          2           0         0             0
                             Kleve       63          0         770         9             1
                              Köln       63          0           0        43             7
                           Krefeld       63          0           0        13             1
                        Leverkusen       63          0           0         0             0
                             Lippe       63         26           0         0             1
                  Märkischer Kreis       63         15         216         0             0
                          Mettmann       63          0         528         0             3
                   Minden-Lübbecke       63         54           0        10             0
                   Mönchengladbach       63         33         424         0             0
               Mülheim an der Ruhr       63         16         495         0             0
                           Münster       63        101           0         0             2
              Oberbergischer Kreis       63         18         290        13             1
                        Oberhausen       63          0         222         0             0
                              Olpe       63          3           0         0             0
                         Paderborn       63         17         800         6             0
                    Recklinghausen       63         65           0         0             0
                         Remscheid       63         11         329         4             0
                  Rhein-Erft-Kreis       63         12        2626        28             1
                 Rhein-Kreis Neuss       63         17         942         0             3
                  Rhein-Sieg-Kreis       63         24        2000         0             2
        Rheinisch-Bergischer Kreis       63         32           0         0             1
               Siegen-Wittgenstein       63         17           0         0             1
                             Soest       63         28           0        18             0
                          Solingen       63          6         383         6             0
               Städteregion Aachen       63          0           0         0            14
                         Steinfurt       63         54        1320         0             0
                              Unna       63          0           0        24             1
                           Viersen       63         27         465         0             1
                         Warendorf       63         22         500         0             1
                             Wesel       63          0           0         0             2
                         Wuppertal       63          0        1215         6             2
                        Bergstraße       63         17           0         2             0
                         Darmstadt       63          0           0         2             1
                 Darmstadt-Dieburg       63          0           0         0             1
                 Frankfurt am Main       63          0           0         0             0
                             Fulda       63          0           0         0             0
                            Gießen       63          7           0         4             0
                        Groß-Gerau       63          0           0         0             0
                Hersfeld-Rotenburg       63         12           0         0             0
                   Hochtaunuskreis       63          0           0         0             0
                            Kassel       63          9          38         8             0
                            Kassel       63          6          33         6             0
                   Lahn-Dill-Kreis       63          0           0         0             0
                  Limburg-Weilburg       63          0           0         0             0
                 Main-Kinzig-Kreis       63         11           0        10             1
                 Main-Taunus-Kreis       63         37           0         0             1
                Marburg-Biedenkopf       63         30           0         5             0
                     Odenwaldkreis       63          0           0         9             0
                         Offenbach       63          9           0        16             2
                 Offenbach am Main       63          3          11         0             1
             Rheingau-Taunus-Kreis       63          0           0         0             0
                Schwalm-Eder-Kreis       63          0           0         0             0
