                         District 29031331  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       24          0          11         0             0
                        Flensburg       21          0         121         0             0
              Herzogtum Lauenburg       80          0           0         0             1
                             Kiel      100          0         658         9             1
                           Lübeck       69          0           0         0             1
                       Neumünster       15          0          48         2             0
                    Nordfriesland       36          0         216         0             0
                      Ostholstein       23          0           0         0             0
                        Pinneberg      188          1           0        21             1
                             Plön       54          0           0         1             1
            Rendsburg-Eckernförde      112          0           0        17             1
              Schleswig-Flensburg       64          1           0         0             0
                         Segeberg       73         10           0         0             0
                        Steinburg       36          0           0         0             1
                         Stormarn      113          2          99        12             0
                          Hamburg     1935          0           0       163             4
                        Ammerland       64         14         150         0             0
                           Aurich       49         18         135         0             1
                     Braunschweig      109         29           0         3             0
                            Celle       70         15         169         1             0
                      Cloppenburg       31          5         185         1             0
                         Cuxhaven       53          7           0         3             0
                      Delmenhorst       17          5          74         0             1
                         Diepholz      126         46           0        24             0
                            Emden        9          2          37         2             0
                          Emsland      140         24         610         0             1
                        Friesland       10          1           0         0             0
                          Gifhorn       62          0         116         0             0
                           Goslar       51          5         222         3             0
                        Göttingen      142          0           0         0             0
              Grafschaft Bentheim       82          1         500         0             0
                   Hameln-Pyrmont       60          6         140         6             1
                          Harburg      149         30           0         0             1
                       Heidekreis       21          0           0         1             0
                        Helmstedt       45          3         164         0             0
                       Hildesheim      152         34         494         5             0
                       Holzminden       47         17           0         0             0
                             Leer       33          5         127         1             1
                Lüchow-Dannenberg        9          0          53         0             0
                         Lüneburg       82          3           0         2             0
                 Nienburg (Weser)       26          8         243         3             0
                         Northeim       33          6           0         0             0
                        Oldenburg       60          5         251         0             0
                 Oldenburg (Oldb)       91          0         320         4             0
                        Osnabrück      215         83         679        60             0
                        Osnabrück      261         69        1013         0             1
                        Osterholz       42          6          96         0             0
                            Peine       54          5         219         0             0
                  Region Hannover      692          0           0       102             4
                Rotenburg (Wümme)       50          7         120         4             1
                       Salzgitter       44          0          45         0             1
                       Schaumburg       53          0          43         2             0
                            Stade      105         26         243         0             0
                           Uelzen       23          2           8         0             0
                           Vechta      128          0         551         3             1
                           Verden       50          9           0         0             0
                      Wesermarsch       38          0           0         2             0
                    Wilhelmshaven        6          3           0         0             0
                         Wittmund       16          3         115         0             0
                     Wolfenbüttel       32          0           0         0             0
                        Wolfsburg      122          0           0         6            12
                           Bremen      259         48         138        14             2
                      Bremerhaven       19          5           0         1             0
                        Bielefeld      146         24        2041        10             0
                           Bochum      219         21           0        23             4
                             Bonn      259          6         703         7             1
                           Borken      424         58           0         0             5
                          Bottrop       37         10         184         0             1
                         Coesfeld      303         46           0        17             1
                         Dortmund      256         81           0         1             0
                         Duisburg      276          0         680        27             1
                            Düren      232         57           0        26             1
                       Düsseldorf      359         39         442        56             2
                Ennepe-Ruhr-Kreis      159         31        1725         4             1
                            Essen      360         46        1182         0             6
                       Euskirchen      105          7         311         6             0
                    Gelsenkirchen       91          4           0         6             0
                        Gütersloh      356         85         248        27             1
                            Hagen       62         10           0         0             2
                             Hamm      146         33         819        16             1
                        Heinsberg     1246        360          71         0            30
                          Herford      143         11           0         2             0
                            Herne       51          7           0         2             0
               Hochsauerlandkreis      231         37           0        27             0
                           Höxter       63          2           0         0             0
                            Kleve      233          0         770         9             2
                             Köln     1249          0           0        43             9
                          Krefeld      185          0           0        13             1
                       Leverkusen      102          0           0         0             0
                            Lippe      279         28           0         0             2
                 Märkischer Kreis      100         15         216         0             0
                         Mettmann      305          0         528         0             4
                  Minden-Lübbecke      246         64           0        10             0
                  Mönchengladbach      168         33         426         0             1
              Mülheim an der Ruhr       62         16         495         0             1
                          Münster      443        101           0         0             2
             Oberbergischer Kreis      203         30         356        22             1
                       Oberhausen       63          0         131         0             0
                             Olpe      102          3           0         0             0
                        Paderborn      191         20         800        13             0
                   Recklinghausen      322         76           0         0             0
                        Remscheid       56         11         329         6             1
                 Rhein-Erft-Kreis      305         51        2626        28             1
                Rhein-Kreis Neuss      282         17         942         0             4
                 Rhein-Sieg-Kreis      490         24        2000         0             2
       Rheinisch-Bergischer Kreis      187         52         683         0             2
              Siegen-Wittgenstein       97         17           0         0             1
                            Soest      176         34           0        18             0
                         Solingen       87          6         383         6             0
              Städteregion Aachen      824         50           0         0            14
                        Steinfurt      388         70        1320         0             1
                             Unna      185          0           0        24             1
                          Viersen      249         30         419         0             1
                        Warendorf      289         22         500         0             1
                            Wesel      217          0           0         0             2
                        Wuppertal      185          0        1215         6             2
                       Bergstraße      156         17           0         2             0
                        Darmstadt       58          0           0         2             1
                Darmstadt-Dieburg      148          0           0         0             1
                Frankfurt am Main      330          0           0         0             2
                            Fulda      134          0           0         0             0
                           Gießen      112          7           0         4             0
                       Groß-Gerau      151          0           0         0             0
               Hersfeld-Rotenburg       53         12           0         0             0
                  Hochtaunuskreis      129          0           0         0             0
                           Kassel       75          9          38         8             0
                           Kassel       77          6          33         6             0
                  Lahn-Dill-Kreis      138          0           0         0             0
                 Limburg-Weilburg      147          5           0         0             0
                Main-Kinzig-Kreis      148         11           0        10             1
                Main-Taunus-Kreis      114         37           0         0             1
               Marburg-Biedenkopf      110         30           0         5             0
                    Odenwaldkreis       58          0           0        16             0
                        Offenbach      160          9           0        16             2
                Offenbach am Main       24          4          11         0             1
            Rheingau-Taunus-Kreis       89          0           0         0             0
               Schwalm-Eder-Kreis      149          0           0         0             1
                  Vogelsbergkreis       51          5           6         1             0
              Waldeck-Frankenberg       55          0           0         0             0
              Werra-Meißner-Kreis       21          3         100         0             0
                    Wetteraukreis       84          0           0         0             0
                        Wiesbaden      148          0        3000         0             1
                        Ahrweiler       63          5         279         0             1
        Altenkirchen (Westerwald)       50          8           0         1             0
                      Alzey-Worms       80         16           0         3             0
                     Bad Dürkheim      146          0           0         0             2
                    Bad Kreuznach       90          0           0         5             0
              Bernkastel-Wittlich       49          8           0         1             0
                       Birkenfeld       33          0         550         5             0
                      Cochem-Zell       99          0           0         0             0
                 Donnersbergkreis       53          1         289         2             1
          Eifelkreis Bitburg-Prüm       88         13           0         0             0
              Frankenthal (Pfalz)       18          0           0         0             0
                      Germersheim       56          0           0         0             1
                   Kaiserslautern       53          1           0         3             0
                   Kaiserslautern       61          0           0         0             1
                          Koblenz      138          0           0         0             3
                            Kusel       35          0           0         0             0
              Landau in der Pfalz       32          0           0         0             0
            Ludwigshafen am Rhein       54          0           0         0             0
                            Mainz      144          0           0         0             0
                     Mainz-Bingen      103          0           0         0             0
                    Mayen-Koblenz      190          0           0         0             1
       Neustadt an der Weinstraße       45          0           0         0             1
                          Neuwied      123          0           0         0             1
                        Pirmasens       12          0           0         0             0
             Rhein-Hunsrück-Kreis       89          0           0         0             0
                 Rhein-Lahn-Kreis       80          0           0         3             2
                Rhein-Pfalz-Kreis       67          0           0         0             0
                           Speyer       22          0          54         0             0
              Südliche Weinstraße       66          0           0         0             0
                     Südwestpfalz       38          0           0         0             0
                            Trier       47         12           0         7             0
                   Trier-Saarburg       57          0           0         0             1
                      Vulkaneifel       39          8           0         0             0
                  Westerwaldkreis      137          0         648         0             2
                            Worms       67          1           0         0             0
                      Zweibrücken        9          0           0         0             0
                  Alb-Donau-Kreis      197          0           0         0             1
                      Baden-Baden       69         23           0         0             2
                         Biberach      212          0           0         0             3
                        Böblingen      473         10           0        24             8
                    Bodenseekreis      192         65         390         8             1
         Breisgau-Hochschwarzwald      378          0           0         0             7
                             Calw      284          0           0         0             3
                      Emmendingen      233          0           0         0             9
                         Enzkreis       77          0           0         0             1
                        Esslingen      705          0           0         0             6
             Freiburg im Breisgau      386          0           0         0             7
                     Freudenstadt      149          0          13         3             0
                        Göppingen      331          0           0        44             5
                       Heidelberg      143         35         358         0             0
                       Heidenheim      172         19           0         0             4
                        Heilbronn      122          0           0         0             0
                        Heilbronn      342         44           0         0             5
                   Hohenlohekreis      404          0        1906         0             5
                        Karlsruhe      152         25           0         0             0
                        Karlsruhe      353         41           0         0             4
                         Konstanz      145         14         111        12             1
                          Lörrach      207          9           0         0             4
                      Ludwigsburg      642          6           0        49             3
                Main-Tauber-Kreis      119         23           0         4             0
                         Mannheim      196         29           0         0             0
            Neckar-Odenwald-Kreis       80          0           0         0             1
                     Ortenaukreis      272          9           0         0            10
                      Ostalbkreis      422          0           0         0             0
                        Pforzheim       29          0           0         0             0
                          Rastatt      269         10           0         0             1
                       Ravensburg      334         41           0         0             0
                  Rems-Murr-Kreis      374          2           0         0             3
                       Reutlingen      249          7           0         0             5
               Rhein-Neckar-Kreis      489         95        1274         0             6
                         Rottweil      108          0           2         0             2
                  Schwäbisch Hall      347         33           0         0            10
           Schwarzwald-Baar-Kreis      175         14          80         0             2
                      Sigmaringen      302         41           0         0             3
                        Stuttgart      685          8        1500         0             6
                         Tübingen      650          0           0        19             2
                       Tuttlingen      111          0          33        10             3
                              Ulm      105          0           0         0             0
                         Waldshut       89         16           0        12             1
                  Zollernalbkreis      336         27           0        19             4
                Aichach-Friedberg      106          5         175         0             0
                        Altötting      101          0           0         0             1
                           Amberg        9          0           0         0             0
                  Amberg-Sulzbach       56          0          60         0             3
                          Ansbach       23          0           0         0             0
                          Ansbach      120          0           0         0             0
                    Aschaffenburg       42          0           0         0             0
                    Aschaffenburg      103          0           0         0             1
                         Augsburg      157         29           0         0             2
                         Augsburg      164          0           0         0             0
                    Bad Kissingen       63          2         251         0             0
          Bad Tölz-Wolfratshausen      135          3          54         4             0
                          Bamberg       67          0           0         0             0
                          Bamberg      161         12           0         4             3
                         Bayreuth       56          0           0        26             0
                         Bayreuth      101          0           0         0             2
             Berchtesgadener Land       68          4         300         5             0
                             Cham      141          0           0         1             0
                           Coburg       20          0          10         0             0
                           Coburg       46          0          27         0             0
                           Dachau      249         23           0         0             1
                       Deggendorf      111          0           0         2             0
               Dillingen ad Donau       33          0          36         0             1
                Dingolfing-Landau       77          2           0         2             0
                       Donau-Ries       67          0           0         0             2
                        Ebersberg      150         36         414        15             0
                        Eichstätt       53          0         230         0             0
                           Erding      245          0           0        22             0
                         Erlangen       77          0           0         0             0
               Erlangen-Höchstadt       56          0           0         0             1
                        Forchheim       73          0           0         0             1
                         Freising      397         80           0         0             7
                 Freyung-Grafenau       62          0         400         7             1
                 Fürstenfeldbruck      275          0           0         0             2
                            Fürth       52          0           0         0             0
                            Fürth       73          0           0         0             2
           Garmisch-Partenkirchen       89          0           0         0             0
                         Günzburg       77          0         318         0             0
                         Haßberge       42          0         154         0             0
                              Hof       24          1           0         0             0
                              Hof      118          3           0         0             0
                       Ingolstadt       76          4           0         0             0
                       Kaufbeuren       18          0           0         0             0
                          Kelheim      101          0         248         0             2
                 Kempten (Allgäu)       38          0           0         0             1
                        Kitzingen       29          1          57         0             0
                          Kronach       46          0         165         0             0
                         Kulmbach       69          0           0        10             0
                Landsberg am Lech      110          0           0         0             2
                         Landshut       81          0           0         0             0
                         Landshut      206          0           0         0             5
                      Lichtenfels       57          0           0         0             0
                Lindau (Bodensee)      100          0           0         0             0
                    Main-Spessart       56          0         308         5             1
                        Memmingen       26          0           0         0             0
                         Miesbach      268         34           0        24             0
                       Miltenberg       92         12           0         4             0
                   Mühldorf a Inn      125          1           0        26             1
                          München     2080          4           0         0             3
                          München      561          0           0         0             5
                          Neu-Ulm      121          0           0         7             1
           Neuburg-Schrobenhausen       62          2           0         0             0
                  Neumarkt id OPf       69          9           0         0             1
  Neustadt ad Aisch-Bad Windsheim       43          0           0         0             0
             Neustadt ad Waldnaab      148          0           0         0             3
                         Nürnberg      230         23        1253         4             1
                  Nürnberger Land      154          0           0        18             3
                       Oberallgäu       87          0           0         0             2
                        Ostallgäu      116          0           0         0             2
                           Passau       37          0         100        11             0
                           Passau      112          0           0         0             1
              Pfaffenhofen ad Ilm       74          8         317         0             0
                            Regen       40          0           0         0             0
                       Regensburg      146          0           0         0             1
                       Regensburg      132          0           0         0             0
                    Rhön-Grabfeld       38          3          21         3             0
                        Rosenheim      111          0           0         0             0
                        Rosenheim      623          0           0        45             7
                             Roth       69          6          50         0             1
                       Rottal-Inn      192          6         400         9             0
                        Schwabach       18          0           0         0             0
                       Schwandorf       92          0         280        20             1
                      Schweinfurt       19          0         250         4             2
                      Schweinfurt       92          8         250         6             0
                        Starnberg      262          0        1200        29             1
                        Straubing       77          0           0         0             1
                  Straubing-Bogen       81          0           0         0             1
                    Tirschenreuth      397          0           0         0            16
                       Traunstein      199         11           0        24             3
                      Unterallgäu      113          5           0         4             2
                    Weiden id OPf       55          0           0         0             0
                Weilheim-Schongau      177          0          70        22             1
          Weißenburg-Gunzenhausen       91          0           0         0             1
       Wunsiedel i Fichtelgebirge      159          0           0         0             2
                         Würzburg      217          0         851         0            13
                         Würzburg      211          0         436         0             0
                    Merzig-Wadern       45          0           0         0             0
                      Neunkirchen       81          0           0         0             0
      Regionalverband Saarbrücken      250         36           0        51             4
                        Saarlouis       97          0           0         0             1
                  Saarpfalz-Kreis      115          0           0         0             1
                        St Wendel       81          0           0         0             0
                           Berlin     2337        765           0       364             9
                           Barnim       65          0         400         4             0
         Brandenburg an der Havel       15          0           0         0             0
                          Cottbus       31         11         200         4             0
                  Dahme-Spreewald       60          2         119         4             0
                      Elbe-Elster       27          2           0         1             0
                 Frankfurt (Oder)        6          0          59         0             0
                        Havelland       46          0           0         3             0
                Märkisch-Oderland       71          7         686        12             0
                        Oberhavel       85          9         668         6             1
            Oberspreewald-Lausitz       18          1         240         0             0
                       Oder-Spree       73          5          46         4             0
               Ostprignitz-Ruppin       12          0           0         1             0
                          Potsdam      108          0         550        35             3
               Potsdam-Mittelmark       93          0         124         4             0
                         Prignitz        9          0           0         0             0
                      Spree-Neiße       40          6         131         1             0
                   Teltow-Fläming       42          4          86         2             0
                        Uckermark        9          0           0         3             0
              Ludwigslust-Parchim       37          0           0         0             1
      Mecklenburgische Seenplatte       56          0           0         0             0
              Nordwestmecklenburg       28          0         535         0             0
                          Rostock       53          1           0         0             0
                          Rostock       26          3           0         0             0
                         Schwerin       60          2          87         0             0
            Vorpommern-Greifswald       55          0           0         0             0
                 Vorpommern-Rügen       33          5           0         0             0
                          Bautzen      156          9         957         3             1
                         Chemnitz       87          0           0         0             0
                          Dresden      314          0           0         0             2
                  Erzgebirgskreis       96          0           0         0             0
                          Görlitz       62          6         224         4             1
                          Leipzig      270          0        1207        18             0
                          Leipzig       77          0         402         3             0
                           Meißen       60          0         412         6             1
                    Mittelsachsen       83          0         238         0             0
                      Nordsachsen       31          0         391         0             0
 Sächsische Schweiz-Osterzgebirge      142          9           0         0             0
                    Vogtlandkreis       93          0           0         0             1
                          Zwickau      286          0         655        14             3
           Altmarkkreis Salzwedel       12          0          95         2             0
                Anhalt-Bitterfeld       30          0         190         0             0
                            Börde       50          2           0         0             0
                  Burgenlandkreis       27          3         159         0             0
                    Dessau-Roßlau       20          0           0         3             0
                    Halle (Saale)      137          0           0        34             1
                             Harz       52          0         259         0             0
                  Jerichower Land       16          0          94         0             0
                        Magdeburg       71          0           0         0             0
                 Mansfeld-Südharz       16          0         156         0             0
                       Saalekreis       56          0         220         0             0
                    Salzlandkreis       37          7         132         0             0
                          Stendal       39          0         270         0             1
                       Wittenberg       66          0          61         5             0
                 Altenburger Land       19          5           0         1             0
                        Eichsfeld       45          1           0         3             1
                         Eisenach        4          1           4         1             0
                           Erfurt       72         15         813         0             0
                             Gera       18          1           0         0             0
                            Gotha       20          1           0         2             0
                            Greiz      111          8           0         8             2
                   Hildburghausen        7          0           0         0             0
                        Ilm-Kreis       55          0         463         3             1
                             Jena      114          5           0         7             1
                  Kyffhäuserkreis       19          6           0         3             0
                       Nordhausen       10          1           0         3             0
             Saale-Holzland-Kreis       22          7         325         2             0
                 Saale-Orla-Kreis       27          3           0         3             0
              Saalfeld-Rudolstadt       33          3         220         1             0
           Schmalkalden-Meiningen       27          4           0         0             0
                         Sömmerda       22          2           6         2             0
                        Sonneberg       20          1           0         0             0
                             Suhl        5          1         552         1             0
            Unstrut-Hainich-Kreis       10          1         340         3             0
                    Wartburgkreis       17          4         135         2             0
                           Weimar       27          5           0         1             0
                    Weimarer Land       18          3           0         2             1
