                         District 06040828  Recovered  Quarantine  Critical  Total Deaths
              Landau in der Pfalz       48          7           0         0             0
            Ludwigshafen am Rhein      126          0           0         0             0
                            Mainz      249        198           0         0             1
                     Mainz-Bingen      211          0           0         0             3
                    Mayen-Koblenz      250        110           0         0             2
       Neustadt an der Weinstraße       71          0           0         0             1
                          Neuwied      161          6           0         0             2
                        Pirmasens       23          0           0         0             0
             Rhein-Hunsrück-Kreis      124         42           0         0             0
                 Rhein-Lahn-Kreis      115         39           0         1             2
                Rhein-Pfalz-Kreis      142          0           0         0             1
                           Speyer       38          0          60         0             0
              Südliche Weinstraße      115         34           0         0             0
                     Südwestpfalz       75         19           0         0             2
                            Trier       73         22           0         0             0
                   Trier-Saarburg      105         33           0         0             1
                      Vulkaneifel       83         30           0         0             1
                  Westerwaldkreis      204         59         194         0             5
                            Worms      111         27           0         0             2
                      Zweibrücken       26          0           0         0             0
                  Alb-Donau-Kreis      366          0           0         0             2
                      Baden-Baden      110          0           0         0             5
                         Biberach      338          0           0         0             4
                        Böblingen     1001        251           0         0            15
                    Bodenseekreis      238        134         375         0             4
         Breisgau-Hochschwarzwald      706          0           0         0            14
                             Calw      444        150           0         0            11
                      Emmendingen      401         34           0         0            21
                         Enzkreis      202        105           0         0             3
                        Esslingen     1117        397           0         0            30
             Freiburg im Breisgau      684          0           0         0            20
                     Freudenstadt      276          0          13         5             3
                        Göppingen      541        183           0        12            14
                       Heidelberg      234        100         362         0             2
                       Heidenheim      287         60           0         0             7
                        Heilbronn      274          0           0         0             1
                        Heilbronn      521         83           0         0             8
                   Hohenlohekreis      557        295        1906         3            15
                        Karlsruhe      238         68           0         0             2
                        Karlsruhe      640        169           0         0            11
                         Konstanz      267         82         111         0             2
                          Lörrach      396        112           0         8            13
                      Ludwigsburg     1072        178           0         0            18
                Main-Tauber-Kreis      237         47           0         0             1
                         Mannheim      319         91           0         0             3
            Neckar-Odenwald-Kreis      148         35           0         0             6
                     Ortenaukreis      624          9           0         0            38
                      Ostalbkreis      662        290           0         0             5
                        Pforzheim       74          0           0         0             3
                          Rastatt      371        129           0         0             2
                       Ravensburg      417        119           0         0             4
                  Rems-Murr-Kreis      771        137           0         0            11
                       Reutlingen      681         96           0         0            12
               Rhein-Neckar-Kreis      713        305        1138         0            15
                         Rottweil      289         81           2         0             4
                  Schwäbisch Hall      686        207           0         0            23
           Schwarzwald-Baar-Kreis      306         93          80         0             3
                      Sigmaringen      517        189           0         0            15
                        Stuttgart     1024        470        1500         0            12
                         Tübingen      980        130           0        24            13
                       Tuttlingen      299         25         238         0             4
                              Ulm      183          0           0         0             1
                         Waldshut      190         62           0         0             5
                  Zollernalbkreis      567         80           0        15            19
                Aichach-Friedberg      171         80         175         3             3
                        Altötting      272          0           0         6             6
                           Amberg       34          0           0         0             1
                  Amberg-Sulzbach      142          0          60         0             3
                          Ansbach       56          1           0         0             0
                          Ansbach      266         19           0         0             1
                    Aschaffenburg       68          0           0         0             0
                    Aschaffenburg      233          0           0         0            12
                         Augsburg      247         73           0         0             4
                         Augsburg      261         86           0         0             1
                    Bad Kissingen      132         30         266         0             1
          Bad Tölz-Wolfratshausen      266        127          54         3             4
                          Bamberg      102          0           0         0             0
                          Bamberg      280         60           0        11             6
                         Bayreuth      105         19           0         7             2
                         Bayreuth      190         35           0        12             2
             Berchtesgadener Land      165         44         161         6             3
                             Cham      267          0           0         2             5
                           Coburg       32          0          30         0             0
                           Coburg       84         42         270         0             1
                           Dachau      500         67         646         0             6
                       Deggendorf      154         43           0         0             4
               Dillingen ad Donau       90          0         197         0             1
                Dingolfing-Landau      126          2           0         0             1
                       Donau-Ries      191          0           0         0             5
                        Ebersberg      282         93         346         6             1
                        Eichstätt      120          0         352         0             3
                           Erding      420         98           0         8             3
                         Erlangen      138          0           0         0             1
               Erlangen-Höchstadt      118          0           0         0             1
                        Forchheim      148         20           0         2             2
                         Freising      678        228           0         0            14
                 Freyung-Grafenau      113         16         425         4             2
                 Fürstenfeldbruck      512         90           0         5             8
                            Fürth      143          0           0         0             2
                            Fürth      236         13           0         0             5
           Garmisch-Partenkirchen      182          0           0         0             1
                         Günzburg      140         12         353         0             1
                         Haßberge       87         21         160         0             0
                              Hof       60          9           0         0             1
                              Hof      210         47           0         0             3
                       Ingolstadt      205         49           0        15             3
                       Kaufbeuren       56          0           0         0             1
                          Kelheim      258        108         248         0            11
                 Kempten (Allgäu)       53         10           0         0             3
                        Kitzingen       60         14         203         0             0
                          Kronach       73         21         254         0             0
                         Kulmbach      106         22           0         0             2
                Landsberg am Lech      217          0           0         0             4
                         Landshut      163          0           0         0             0
                         Landshut      403        142           0        24            14
                      Lichtenfels      125         28           0         3             1
                Lindau (Bodensee)      188          0           0         0             4
                    Main-Spessart      104          0         280         3             2
                        Memmingen       40          0           0         0             0
                         Miesbach      397        128           0         7             2
                       Miltenberg      178         48           0         1             0
                   Mühldorf a Inn      281         12           0        10             4
                          München     3642       1103           0         0            14
                          München      893        321           0         0            10
                          Neu-Ulm      235         34           0         0             2
           Neuburg-Schrobenhausen      121         46           0         0             3
                  Neumarkt id OPf      146         21           0         0             2
  Neustadt ad Aisch-Bad Windsheim       94         10          59         0             1
             Neustadt ad Waldnaab      406          0           0         0            13
                         Nürnberg      483         50        1861         0             6
                  Nürnberger Land      375          0           0         6            11
                       Oberallgäu      130         34           0         0             3
                        Ostallgäu      296          0           0         0             7
                           Passau       90          0         100         8             3
                           Passau      262          0           0         8             7
              Pfaffenhofen ad Ilm      200         26         509         2             3
                            Regen       89          3           0         0             0
                       Regensburg      263          0           0         0             3
                       Regensburg      259          0           0         0             0
                    Rhön-Grabfeld       76         14          21         0             0
                        Rosenheim      245         35           0        35             4
                        Rosenheim     1172         47           0         0            31
                             Roth      183         17         125         0             3
                       Rottal-Inn      494        179         400        13            16
                        Schwabach       47          0           0         0             0
                       Schwandorf      255         28         600         0             8
                      Schweinfurt       84         10         230         0             7
                      Schweinfurt      230         45         403         0             4
                        Starnberg      408          0        1200         8             2
                        Straubing      179          0           0         6             5
                  Straubing-Bogen      200         20           0        10             7
                    Tirschenreuth      762          0           0         0            41
                       Traunstein      466         22           0        11            11
                      Unterallgäu      184          5           0         0             4
                    Weiden id OPf      136          0           0         0             4
                Weilheim-Schongau      279          0          70         5             1
          Weißenburg-Gunzenhausen      163          0           0         0             2
       Wunsiedel i Fichtelgebirge      416        110           0         0             9
                         Würzburg      361         95         860         0            26
                         Würzburg      290         76         691         0             0
                    Merzig-Wadern      121         14           0         0             1
                      Neunkirchen      154          0           0         0             0
      Regionalverband Saarbrücken      648        144           0        48            17
                        Saarlouis      278         40           0         0             3
                  Saarpfalz-Kreis      222         31           0         0             2
                        St Wendel      121         32           0         0             1
                           Berlin     3687       1938           0       126            26
                           Barnim      109         20         345         0             2
         Brandenburg an der Havel       33          9          76         0             1
                          Cottbus       34         17         100         2             0
                  Dahme-Spreewald      117         14         242         0             2
                      Elbe-Elster       53          6           0         0             1
                 Frankfurt (Oder)       14          0          10         0             0
                        Havelland       92          0           0         0             1
                Märkisch-Oderland      112         46         482         4             1
                        Oberhavel      137         38         948         0             2
            Oberspreewald-Lausitz       28          3         114         1             0
                       Oder-Spree       83         25          46         0             0
               Ostprignitz-Ruppin       31          1         175         0             0
                          Potsdam      264          8         610        14            11
               Potsdam-Mittelmark      199         12         238         0             5
                         Prignitz       13          0           0         0             0
                      Spree-Neiße       51         26         150         0             0
                   Teltow-Fläming       70         13          92         0             0
                        Uckermark       22          0           0         2             1
              Ludwigslust-Parchim       54         28           0         0             1
      Mecklenburgische Seenplatte       94         18           0         0             3
              Nordwestmecklenburg       51         22          95         0             1
                          Rostock       64          1           0         0             0
                          Rostock       46         10           0         0             1
                         Schwerin       77         30          87         0             0
            Vorpommern-Greifswald       81         16           0         0             1
                 Vorpommern-Rügen       61         18           0         0             0
                          Bautzen      207         43         497         0             2
                         Chemnitz      147          0           0         0             2
                          Dresden      448          0           0         0             4
                  Erzgebirgskreis      288          0         932         0            10
                          Görlitz      167         18         177         1             4
                          Leipzig      421          0        1207         0             2
                          Leipzig      134         48         147         0             2
                           Meißen      121         28         217         3             3
                    Mittelsachsen      161         59         315         0             1
                      Nordsachsen       79          0         182         0             0
 Sächsische Schweiz-Osterzgebirge      255         43           0         0             1
                    Vogtlandkreis      151         39           0         0             1
                          Zwickau      500          0         694         0             9
           Altmarkkreis Salzwedel       19          0          49         0             0
                Anhalt-Bitterfeld       48          5         131         0             0
                            Börde       68         31           0         0             0
                  Burgenlandkreis       52         20         161         0             0
                    Dessau-Roßlau       35          0           0         0             1
                    Halle (Saale)      214         50         600        12             3
                             Harz       84         22         210         0             1
                  Jerichower Land       25          7         121         0             1
                        Magdeburg       88        238           0         0             1
                 Mansfeld-Südharz       30          0         161         0             1
                       Saalekreis       83         10         258         0             1
                    Salzlandkreis       54         17          74         0             0
                          Stendal       64          0         370         0             2
                       Wittenberg      113          0          89         0             1
                 Altenburger Land       30          6           0         1             0
                        Eichsfeld       73          8           0         2             1
                         Eisenach        8          1           4         1             0
                           Erfurt       95        361         869         1             0
                             Gera       36          3           0         0             0
                            Gotha       37          6           0         0             0
                            Greiz      182          8           0         6             5
                   Hildburghausen       11          0           0         0             1
                        Ilm-Kreis       93         19         463         1             1
                             Jena      142         36           0         2             1
                  Kyffhäuserkreis       27          6           0         0             0
                       Nordhausen       21          2           0         1             0
             Saale-Holzland-Kreis       45         21         246         0             0
                 Saale-Orla-Kreis       65          4           0         0             1
              Saalfeld-Rudolstadt       48         18         183         0             0
           Schmalkalden-Meiningen       38         26          78         0             0
                         Sömmerda       29          3           6         0             0
                        Sonneberg       36          1           0         1             1
                             Suhl       10          1          22         3             2
            Unstrut-Hainich-Kreis       35          5         293         0             0
                    Wartburgkreis       29          6         135         1             0
                           Weimar       49          6           0         0             0
                    Weimarer Land       41          3           0         0             0
