                         District 29031931  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       24          0          11         0             0
                        Flensburg       21          0         121         0             0
              Herzogtum Lauenburg       80          0           0         0             1
                             Kiel      100          0         658         9             1
                           Lübeck       69          0           0         0             1
                       Neumünster       15          0          48         2             0
                    Nordfriesland       36          0         216         0             0
                      Ostholstein       23          0           0         0             0
                        Pinneberg      188          1           0        21             1
                             Plön       54          0           0         1             1
            Rendsburg-Eckernförde      112          0           0        17             1
              Schleswig-Flensburg       64          1           0         0             0
                         Segeberg       73         10           0         0             0
                        Steinburg       36          0           0         0             1
                         Stormarn      120          7         101        12             0
                          Hamburg     2078          0           0       163             4
                        Ammerland       77         14         184         0             0
                           Aurich       49         18         135         0             1
                     Braunschweig      138         29           0         3             0
                            Celle       72         15         169         1             0
                      Cloppenburg       31          5         185         1             0
                         Cuxhaven       53          7           0         2             0
                      Delmenhorst       17          5          74         0             1
                         Diepholz      126         46           0        24             0
                            Emden        9          2          40         1             1
                          Emsland      140         24         610         0             1
                        Friesland       10          1           0         0             0
                          Gifhorn       62          0         116         0             0
                           Goslar       51          5         222         3             0
                        Göttingen      158          0           0         0             0
              Grafschaft Bentheim       84          1         500         0             0
                   Hameln-Pyrmont       70          9         140         6             1
                          Harburg      154         30           0         0             1
                       Heidekreis       25          0           0         1             0
                        Helmstedt       53          3         164         0             0
                       Hildesheim      152         34         494         5             0
                       Holzminden       47         17           0         0             0
                             Leer       34          5         127         1             1
                Lüchow-Dannenberg        9          0          53         0             0
                         Lüneburg       82          3           0         2             0
                 Nienburg (Weser)       26          8         243         3             0
                         Northeim       33          6           0         0             0
                        Oldenburg       62          5         251         0             0
                 Oldenburg (Oldb)       91          0         320         4             0
                        Osnabrück      215         83         679        49             0
                        Osnabrück      279         69        1013         0             1
                        Osterholz       42          6          96         0             0
                            Peine       59          5         219         0             0
                  Region Hannover      738          0           0       102             4
                Rotenburg (Wümme)       54         16         126         6             1
                       Salzgitter       45          0          45         0             1
                       Schaumburg       53          0          43         2             0
                            Stade      109         33         176         0             0
                           Uelzen       24          2           8         0             0
                           Vechta      133          0         551         3             1
                           Verden       57          9           0         0             0
                      Wesermarsch       39          0           0         2             0
                    Wilhelmshaven        6          3           0         0             0
                         Wittmund       16          3         115         0             0
                     Wolfenbüttel       32          0           0         0             0
                        Wolfsburg      145          0           0         6            15
                           Bremen      270         48         138        14             2
                      Bremerhaven       20          5           0         1             0
                        Bielefeld      146         24        2041        10             0
                           Bochum      219         21           0        23             4
                             Bonn      259         13         770         7             1
                           Borken      438         75           0         0             5
                          Bottrop       38         10         184         0             1
                         Coesfeld      303         46           0        17             1
                         Dortmund      259        114           0         1             0
                         Duisburg      276          0         680        27             1
                            Düren      243         57           0        26             1
                       Düsseldorf      359         39         442        56             2
                Ennepe-Ruhr-Kreis      170         33        1726         8             1
                            Essen      374         46        1182         0             6
                       Euskirchen      105          7         311         6             0
                    Gelsenkirchen       96          4           0         6             0
                        Gütersloh      362         85         248        27             1
                            Hagen       62         10           0         0             2
                             Hamm      146         33         819        16             1
                        Heinsberg     1246        360          71         0            31
                          Herford      143         11           0         2             0
                            Herne       55          7           0         2             0
               Hochsauerlandkreis      241         38           0        27             0
                           Höxter       63          2           0         0             0
                            Kleve      236          0         770         9             2
                             Köln     1319          0           0        43            11
                          Krefeld      210          0           0        13             1
                       Leverkusen      102          0           0         0             0
                            Lippe      289         35           0         0             2
                 Märkischer Kreis      100         15         216         0             0
                         Mettmann      320          0         528         0             4
                  Minden-Lübbecke      256         70           0        10             0
                  Mönchengladbach      174         47         423         0             1
              Mülheim an der Ruhr       68         19         456         0             1
                          Münster      443        101           0         0             2
             Oberbergischer Kreis      203         30         356        22             1
                       Oberhausen       66          0         131         0             0
                             Olpe      102          3           0         0             0
                        Paderborn      191         20         800        13             1
                   Recklinghausen      328         78           0         0             0
                        Remscheid       56         11         329         6             1
                 Rhein-Erft-Kreis      326         51        2626        28             1
                Rhein-Kreis Neuss      315         70         942         0             4
                 Rhein-Sieg-Kreis      543         52        2000         0             2
       Rheinisch-Bergischer Kreis      200         66         620         0             2
              Siegen-Wittgenstein       97         17           0         0             1
                            Soest      181         42           0        18             0
                         Solingen       87          6         383         6             0
              Städteregion Aachen      824         50           0         0            14
                        Steinfurt      392         89        1200         0             1
                             Unna      189          0           0        22             2
                          Viersen      249         30         419         0             1
                        Warendorf      291         25         500         0             1
                            Wesel      217          0           0         0             2
                        Wuppertal      185          0        1215         6             2
                       Bergstraße      156         17           0         2             0
                        Darmstadt       59          0           0         2             1
                Darmstadt-Dieburg      157          0           0         0             1
                Frankfurt am Main      330          0           0         0             2
                            Fulda      143          0           0         0             0
                           Gießen      121         11           0         3             0
                       Groß-Gerau      183          0           0         0             0
               Hersfeld-Rotenburg       53         12           0         0             0
                  Hochtaunuskreis      131          0           0         0             0
                           Kassel       81          9          38         8             0
                           Kassel       81          6          33         6             0
                  Lahn-Dill-Kreis      152          0           0         0             0
                 Limburg-Weilburg      149          9           0         0             0
                Main-Kinzig-Kreis      151         11           0        23             1
                Main-Taunus-Kreis      115         37           0         0             1
               Marburg-Biedenkopf      117         34           0         4             1
                    Odenwaldkreis       58          0           0        16             0
                        Offenbach      167          9           0        16             2
                Offenbach am Main       24          7           9         0             1
            Rheingau-Taunus-Kreis      107          0           0         0             0
               Schwalm-Eder-Kreis      151          0           0         0             1
                  Vogelsbergkreis       51          5           6         1             0
              Waldeck-Frankenberg       55          0           0         0             0
              Werra-Meißner-Kreis       21          3         100         0             0
                    Wetteraukreis       91          0           0         0             0
                        Wiesbaden      148          0        3000         0             1
                        Ahrweiler       68          5         279         0             1
        Altenkirchen (Westerwald)       50          8           0         1             0
                      Alzey-Worms       84         16           0         3             0
                     Bad Dürkheim      160          0           0         0             2
                    Bad Kreuznach       92          0           0         5             0
              Bernkastel-Wittlich       56          9           0         6             0
                       Birkenfeld       34          0         550         5             0
                      Cochem-Zell      100          0           0         0             0
                 Donnersbergkreis       58          4         295         2             1
          Eifelkreis Bitburg-Prüm       91         13           0         0             0
              Frankenthal (Pfalz)       18          0           0         0             0
                      Germersheim       61          0           0         0             1
                   Kaiserslautern       54          1           0         3             1
                   Kaiserslautern       61          0           0         0             0
                          Koblenz      141          0           0         0             4
                            Kusel       45         18           0         0             0
              Landau in der Pfalz       35          0           0         0             0
            Ludwigshafen am Rhein       54          0           0         0             0
                            Mainz      180          0           0         0             0
                     Mainz-Bingen      113          0           0         0             0
                    Mayen-Koblenz      196          0           0         0             1
       Neustadt an der Weinstraße       50          0           0         0             1
                          Neuwied      123          0           0         0             1
                        Pirmasens       15          0           0         0             0
             Rhein-Hunsrück-Kreis      100          0           0         0             0
                 Rhein-Lahn-Kreis       81          0           0         3             2
                Rhein-Pfalz-Kreis       67          0           0         0             0
                           Speyer       22          0          54         0             0
              Südliche Weinstraße       74          0           0         0             0
                     Südwestpfalz       41          0           0         0             1
                            Trier       47         12           0         7             0
                   Trier-Saarburg       57          0           0         0             1
                      Vulkaneifel       48         12           0         0             0
                  Westerwaldkreis      137          0         648         0             2
                            Worms       67          1           0         0             0
                      Zweibrücken        9          0           0         0             0
                  Alb-Donau-Kreis      226          0           0         0             1
                      Baden-Baden       69         23           0         0             2
                         Biberach      216          0           0         0             3
                        Böblingen      473         10           0        24             8
                    Bodenseekreis      196         65         412        14             1
         Breisgau-Hochschwarzwald      389          0           0         0             7
                             Calw      284          0           0         0             3
                      Emmendingen      244          0           0         0            10
                         Enzkreis      110          0           0         0             1
                        Esslingen      737          0           0         0             6
             Freiburg im Breisgau      402          0           0         0            10
                     Freudenstadt      161          0          13         3             0
                        Göppingen      365          0           0        44             5
                       Heidelberg      155         39         404         0             0
                       Heidenheim      178         26           0         0             4
                        Heilbronn      124          0           0         0             0
                        Heilbronn      365         44           0         0             5
                   Hohenlohekreis      421          0        1906         0             5
                        Karlsruhe      152         25           0         0             0
                        Karlsruhe      353         41           0         0             4
                         Konstanz      145         14         111        12             1
                          Lörrach      215          9           0         0             4
                      Ludwigsburg      657          6           0        49             3
                Main-Tauber-Kreis      120         23           0         4             0
                         Mannheim      218         34           0         0             0
            Neckar-Odenwald-Kreis       88          0           0         0             1
                     Ortenaukreis      304          9           0         0            10
                      Ostalbkreis      468         84           0         0             0
                        Pforzheim       37          0           0         0             0
                          Rastatt      269         10           0         0             1
                       Ravensburg      336         41           0         0             0
                  Rems-Murr-Kreis      445          2           0         0             3
                       Reutlingen      249          7           0         0             5
               Rhein-Neckar-Kreis      521        124        1340         0             6
                         Rottweil      128          0           2         0             2
                  Schwäbisch Hall      347         33           0         0            10
           Schwarzwald-Baar-Kreis      175         14          80         0             2
                      Sigmaringen      302         41           0         0             3
                        Stuttgart      708        250        1500         0             7
                         Tübingen      650          0           0        19             2
                       Tuttlingen      137          0          33        10             3
                              Ulm      116          0           0         0             0
                         Waldshut       91         17           0        12             1
                  Zollernalbkreis      346         30           0        89             4
                Aichach-Friedberg      106          5         175         0             1
                        Altötting      106          0           0         0             3
                           Amberg        9          0           0         0             0
                  Amberg-Sulzbach       56          0          60         0             3
                          Ansbach       48          0           0         0             0
                          Ansbach      120          0           0         0             0
                    Aschaffenburg       46          0           0         0             0
                    Aschaffenburg      111          0           0         0             1
                         Augsburg      157         29           0         0             2
                         Augsburg      171          0           0         0             0
                    Bad Kissingen       70          2         251         0             0
          Bad Tölz-Wolfratshausen      142          3          54         4             0
                          Bamberg       67          0           0         0             0
                          Bamberg      161         12           0         4             3
                         Bayreuth       56          0           0        26             0
                         Bayreuth      101          0           0         0             2
             Berchtesgadener Land       76          4         300         5             0
                             Cham      141          0           0         1             0
                           Coburg       23          0          10         0             0
                           Coburg       50          0          27         0             0
                           Dachau      290         23           0         0             1
                       Deggendorf      113          0           0         2             2
               Dillingen ad Donau       38          0          36         0             1
                Dingolfing-Landau       89          2           0         2             0
                       Donau-Ries       76          0           0         0             2
                        Ebersberg      168         36         414        15             0
                        Eichstätt       73          0         230         0             1
                           Erding      297          0           0        22             0
                         Erlangen       78          0           0         0             0
               Erlangen-Höchstadt       56          0           0         0             1
                        Forchheim       78          0           0         0             1
                         Freising      433         80           0         0             7
                 Freyung-Grafenau       79          0         400         7             1
                 Fürstenfeldbruck      275          0           0         0             2
                            Fürth       72          0           0         0             0
                            Fürth       78          0           0         0             3
           Garmisch-Partenkirchen       95          0           0         0             0
                         Günzburg       90          0         318         0             0
                         Haßberge       47          0         160         0             0
                              Hof       26          1           0         0             0
                              Hof      116          8           0         0             0
                       Ingolstadt       79          5           0         0             0
                       Kaufbeuren       30          0           0         0             0
                          Kelheim      126          0         248         0             2
                 Kempten (Allgäu)       39          0           0         0             2
                        Kitzingen       29          1          57         0             0
                          Kronach       52          0         165         0             0
                         Kulmbach       74          0           0        10             0
                Landsberg am Lech      124          0           0         0             2
                         Landshut       91          0           0         0             0
                         Landshut      240          0           0         0             5
                      Lichtenfels       74          0           0         0             0
                Lindau (Bodensee)      102          0           0         0             1
                    Main-Spessart       56          0         308         5             1
                        Memmingen       26          0           0         0             0
                         Miesbach      288         34           0        24             0
                       Miltenberg       92         12           0         4             0
                   Mühldorf a Inn      136          1           0        26             1
                          München     2256        250           0         0             3
                          München      561          0           0         0             5
                          Neu-Ulm      126          0           0         7             1
           Neuburg-Schrobenhausen       69          2           0         0             0
                  Neumarkt id OPf       80          9           0         0             1
  Neustadt ad Aisch-Bad Windsheim       50          0           0         0             0
             Neustadt ad Waldnaab      152          0           0         0             3
                         Nürnberg      237         28        1717         4             1
                  Nürnberger Land      201          0           0        35             5
                       Oberallgäu       91          0           0         0             2
                        Ostallgäu      133          0           0         0             3
                           Passau       39          0         100        18             1
                           Passau      112          0           0         0             1
              Pfaffenhofen ad Ilm      100          8         317         0             0
                            Regen       40          0           0         0             0
                       Regensburg      152          0           0         0             1
                       Regensburg      147          0           0         0             0
                    Rhön-Grabfeld       38          3          21         3             0
                        Rosenheim      128          0           0         0             0
                        Rosenheim      745          0           0        45             7
                             Roth       82          6          50         0             1
                       Rottal-Inn      207          6         400         9             0
                        Schwabach       24          0           0         0             0
                       Schwandorf      114          0         280        20             1
                      Schweinfurt       27          0         250         4             2
                      Schweinfurt      137          8         250         6             0
                        Starnberg      270          0        1200        29             1
                        Straubing       79          0           0         0             1
                  Straubing-Bogen       83          0           0         0             1
                    Tirschenreuth      398          0           0         0            17
                       Traunstein      222         11           0        24             3
                      Unterallgäu      123          5           0         4             2
                    Weiden id OPf       61          0           0         0             0
                Weilheim-Schongau      183          0          70        22             1
          Weißenburg-Gunzenhausen       91          0           0         0             1
       Wunsiedel i Fichtelgebirge      188          0           0         0             5
                         Würzburg      243          0         851         0            13
                         Würzburg      201         37         436         0             0
                    Merzig-Wadern       52          0           0         0             0
                      Neunkirchen       98          0           0         0             0
      Regionalverband Saarbrücken      268         47           0        66             5
                        Saarlouis      124          0           0         0             1
                  Saarpfalz-Kreis      115          0           0         0             1
                        St Wendel       81          0           0         0             0
                           Berlin     2462        765           0       312            11
                           Barnim       68          0         432         5             0
         Brandenburg an der Havel       16          0           0         0             0
                          Cottbus       31         11         200         4             0
                  Dahme-Spreewald       60          2         119         4             0
                      Elbe-Elster       27          2           0         1             0
                 Frankfurt (Oder)        6          0          59         0             0
                        Havelland       46          0           0         3             0
                Märkisch-Oderland       76         14         814        11             0
                        Oberhavel       85          9         668         6             1
            Oberspreewald-Lausitz       18          1         240         0             0
                       Oder-Spree       75          5          46         4             0
               Ostprignitz-Ruppin       12          0           0         1             0
                          Potsdam      109          0         550        38             3
               Potsdam-Mittelmark       98          0         113         7             0
                         Prignitz        9          0           0         0             0
                      Spree-Neiße       40          6         131         1             0
                   Teltow-Fläming       43         13          86         2             0
                        Uckermark       10          0           0         6             0
              Ludwigslust-Parchim       37          0           0         0             1
      Mecklenburgische Seenplatte       58          0           0         0             0
              Nordwestmecklenburg       28          0         535         0             0
                          Rostock       56          1           0         0             0
                          Rostock       26          3           0         0             0
                         Schwerin       62          2          87         0             0
            Vorpommern-Greifswald       56          0           0         0             0
                 Vorpommern-Rügen       38          9           0         0             0
                          Bautzen      168         12         741         3             1
                         Chemnitz       96          0           0         0             0
                          Dresden      320          0           0         0             2
                  Erzgebirgskreis      104          0           0         0             1
                          Görlitz       69          6         219         7             1
                          Leipzig      316          0        1207        21             0
                          Leipzig       91          0         450         3             0
                           Meißen       68          0         412         8             1
                    Mittelsachsen       85          0         238         0             0
                      Nordsachsen       37          0         255         0             0
 Sächsische Schweiz-Osterzgebirge      151          9           0         0             0
                    Vogtlandkreis       93          0           0         0             1
                          Zwickau      286          0         655        14             3
           Altmarkkreis Salzwedel       12          0          95         2             0
                Anhalt-Bitterfeld       32          0         190         0             0
                            Börde       53          2           0         0             0
                  Burgenlandkreis       27          3         159         0             0
                    Dessau-Roßlau       20          0           0         3             0
                    Halle (Saale)      153          0           0        34             2
                             Harz       58          0         259         0             0
                  Jerichower Land       16          0          94         0             0
                        Magdeburg       71          0           0         0             0
                 Mansfeld-Südharz       16          0         156         0             0
                       Saalekreis       56          0         229         0             0
                    Salzlandkreis       37          7         132         0             0
                          Stendal       51          0         300         0             1
                       Wittenberg       80          6          56         4             1
                 Altenburger Land       20          5           0         2             0
                        Eichsfeld       51          1           0         6             1
                         Eisenach        4          1           4         1             0
                           Erfurt       74         15         813         3             0
                             Gera       19          1           0         0             0
                            Gotha       20          1           0         2             0
                            Greiz      121          8           0        20             2
                   Hildburghausen        7          0           0         0             0
                        Ilm-Kreis       55          0         463         3             1
                             Jena      114          5           0         7             1
                  Kyffhäuserkreis       19          6           0         3             0
                       Nordhausen       11          1           0         4             0
             Saale-Holzland-Kreis       27          9         325         2             0
                 Saale-Orla-Kreis       27          3           0         2             0
              Saalfeld-Rudolstadt       33          3         220         3             0
           Schmalkalden-Meiningen       28          4           0         1             0
                         Sömmerda       22          2           6         2             0
                        Sonneberg       21          1           0         1             0
                             Suhl        6          1         552         2             0
            Unstrut-Hainich-Kreis       11          1         298         3             0
                    Wartburgkreis       17          4         135         3             0
                           Weimar       29          5           0         1             0
                    Weimarer Land       21          3           0         3             1
