                          District 27031901  Recovered  Quarantine  Critical  Total Deaths
                      Dithmarschen       20          0          11         0             0
                         Flensburg       21          0         121         0             0
               Herzogtum Lauenburg       71          0           0         0             1
                              Kiel       74          0         658         9             1
                            Lübeck       67          1           0         0             1
                        Neumünster       15          0          48         2             0
                     Nordfriesland       27          0         195         0             0
                       Ostholstein       23          0           0         0             0
                         Pinneberg      178          1           0        21             1
                              Plön       45          0           0         1             1
             Rendsburg-Eckernförde       89          0           0        17             0
               Schleswig-Flensburg       45          1           0         0             0
                          Segeberg       55          0           0         0             0
                         Steinburg       28          0           0         0             1
                          Stormarn       95          2          82        11             0
                           Hamburg     1759          0           0       103             2
                         Ammerland       56         14         111         0             0
                            Aurich       48         17         188         0             0
                      Braunschweig       81         13           0         3             0
                             Celle       69         15         203         1             0
                       Cloppenburg       23          1           0         1             0
                          Cuxhaven       49          7           0         2             0
                       Delmenhorst       17          5          74         0             1
                          Diepholz      117         46           0        24             0
                             Emden        7          2          43         2             0
                           Emsland      114          8         640         0             1
                         Friesland        9          1           0         0             0
                           Gifhorn       53          0         116         0             0
                            Goslar       46          5         222         3             0
                         Göttingen      127          0           0         0             0
               Grafschaft Bentheim       62          1         440         0             0
                    Hameln-Pyrmont       44          6         140         6             0
                           Harburg      134         23           0         0             1
                        Heidekreis       21          0           0         1             0
                         Helmstedt       45          3         164         0             0
                        Hildesheim      144         32         469         3             0
                        Holzminden       44         11           0         0             0
                              Leer       28          5         184         1             1
                 Lüchow-Dannenberg        9          0          40         0             0
                          Lüneburg       72          3           0         3             0
                  Nienburg (Weser)       24          0          92         0             0
                          Northeim       33          6           0         0             0
                         Oldenburg       56          5         251         0             0
                  Oldenburg (Oldb)       91          0         320         4             0
                         Osnabrück      198         52         357        26             0
                         Osnabrück      221         31         896         0             1
                         Osterholz       42          6          96         0             0
                             Peine       40          0         219         0             0
                   Region Hannover      661          0           0        90             4
                 Rotenburg (Wümme)       49          6          58         6             0
                        Salzgitter       44          0          45         0             1
                        Schaumburg       48          0          43         1             0
                             Stade      103         26         243         0             0
                            Uelzen       19          2           8         0             0
                            Vechta      112          0         414         3             1
                            Verden       48          9           0         0             0
                       Wesermarsch       32          0           0         2             0
                     Wilhelmshaven        6          3           0         0             0
                          Wittmund       14          1         128         0             0
                      Wolfenbüttel       29          0           0         0             0
                         Wolfsburg       51          0           0         4             2
                            Bremen      228         35         138        15             1
                       Bremerhaven       16          5           0         1             0
                         Bielefeld      142         23        1860        10             0
                            Bochum      194         21           0        23             3
                              Bonn      222          6         671         7             1
                            Borken      399         47           0         0             4
                           Bottrop       27          5         184         0             1
                          Coesfeld      264         36           0        17             1
                          Dortmund      238         64           0         1             0
                          Duisburg      245          0         680        27             1
                             Düren      209         57           0        26             1
                        Düsseldorf      319          6         347        46             2
                 Ennepe-Ruhr-Kreis      119         23        1661         0             1
                             Essen      297          8        1226         0             5
                        Euskirchen       92          7         311         6             0
                     Gelsenkirchen       78          4           0         0             0
                         Gütersloh      335         65           0        19             1
                             Hagen       56         10           0         0             2
                              Hamm      117         13         865        11             1
                         Heinsberg     1153        360          71         0            28
                           Herford      123          5           0         4             0
                             Herne       45          6           0         2             0
                Hochsauerlandkreis      183         21           0        12             0
                            Höxter       49          2           0         0             0
                             Kleve      211          0         770         9             1
                              Köln     1161          0           0        43             7
                           Krefeld      147          0           0        12             1
                        Leverkusen       82          0           0         0             0
                             Lippe      261         26           0         0             1
                  Märkischer Kreis       81          0         216         0             0
                          Mettmann      284          0         528         0             3
                   Minden-Lübbecke      241         54           0        10             0
                   Mönchengladbach      151         33         424         0             0
               Mülheim an der Ruhr       53         11         458         0             0
                           Münster      414        101           0         0             2
              Oberbergischer Kreis      163         18         259        13             1
                        Oberhausen       61          0         222         0             0
                              Olpe       93          3           0         0             0
                         Paderborn      172         17         800         6             0
                    Recklinghausen      304         65           0         0             0
                         Remscheid       45          7         256         0             0
                  Rhein-Erft-Kreis      276         12        2531        28             1
                 Rhein-Kreis Neuss      257         17         942         0             3
                  Rhein-Sieg-Kreis      490         24        2000         0             2
        Rheinisch-Bergischer Kreis      171         32           0         0             1
               Siegen-Wittgenstein       80         10           0         0             0
                             Soest      145          0           0         0             0
                          Solingen       71          6         383         6             0
               Städteregion Aachen      746          0           0         0            14
                         Steinfurt      338         54        1320         0             0
                              Unna      171          0           0        24             1
                           Viersen      234         23         481         0             1
                         Warendorf      279         22         500         0             1
                             Wesel      208          0           0         0             2
                         Wuppertal      172          0        1215         6             2
                        Bergstraße      123         12           0         2             0
                         Darmstadt       48          0           0         2             1
                 Darmstadt-Dieburg      128          0           0         0             1
                 Frankfurt am Main      237          0           0         0             0
                             Fulda      123          0           0         0             0
                            Gießen      112          7           0         4             0
                        Groß-Gerau      137          0           0         0             0
                Hersfeld-Rotenburg       44         12           0         0             0
                   Hochtaunuskreis      111          0           0         0             0
                            Kassel       67          9          38         8             0
                            Kassel       74          6          33         6             0
                   Lahn-Dill-Kreis      116          0           0         0             0
                  Limburg-Weilburg      137          0           0         0             0
                 Main-Kinzig-Kreis      120         11           0        10             1
                 Main-Taunus-Kreis      114         37           0         0             1
                Marburg-Biedenkopf      110         30           0         5             0
                     Odenwaldkreis       47          0           0         9             0
                         Offenbach      142         20           0        16             2
                 Offenbach am Main       19          3          11         0             1
             Rheingau-Taunus-Kreis       89          0           0         0             0
                Schwalm-Eder-Kreis      131          0           0         0             0
