                         District 31031858  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       28          6          11         0             0
                        Flensburg       23          0         121         0             0
              Herzogtum Lauenburg       92          0           0         0             1
                             Kiel      121          0         342        15             1
                           Lübeck       88          0           0         0             1
                       Neumünster       19          0          55         1             0
                    Nordfriesland       40          8         216         0             0
                      Ostholstein       32          0           0         0             0
                        Pinneberg      205          1           0        27             2
                             Plön       56          0           0         1             2
            Rendsburg-Eckernförde      125          0           0        17             2
              Schleswig-Flensburg       75          3         800         0             0
                         Segeberg       80         16           0         0             0
                        Steinburg       40          0           0         0             1
                         Stormarn      147         12         121        14             0
                          Hamburg     2290          0           0       214             7
                        Ammerland       88         17         228         0             0
                           Aurich       58         31         135         0             2
                     Braunschweig      148         43           0        30             0
                            Celle       98         31         184         6             0
                      Cloppenburg       34          0         203         0             0
                         Cuxhaven       55          7           0         2             0
                      Delmenhorst       22          5          53         0             1
                         Diepholz      142         62           0        28             2
                            Emden       10          3          22         0             2
                          Emsland      149         37         640         0             2
                        Friesland       12          1           0         0             0
                          Gifhorn       78          0         192         0             0
                           Goslar       61         12         184         4             1
                        Göttingen      208         13           0         0             0
              Grafschaft Bentheim       92          1         360         0             1
                   Hameln-Pyrmont       73         10         151         8             2
                          Harburg      168         41           0         0             1
                       Heidekreis       28         10           0         1             0
                        Helmstedt       60         17         164         0             0
                       Hildesheim      153         54         422         7             0
                       Holzminden       56         17           0         0             0
                             Leer       41          7         145         1             1
                Lüchow-Dannenberg        8          1          55         0             0
                         Lüneburg       97          5           0         3             0
                 Nienburg (Weser)       29          9         295         3             0
                         Northeim       41          9           0         0             0
                        Oldenburg      108         14         292         0             0
                 Oldenburg (Oldb)      111          0         500         4             0
                        Osnabrück      253         97         284        72             2
                        Osnabrück      322         86         446         0             2
                        Osterholz       49         16         106         1             0
                            Peine       80         11          71         0             0
                  Region Hannover      867        149           0       191             6
                Rotenburg (Wümme)       55         17         146         6             1
                       Salzgitter       53          0          45         0             1
                       Schaumburg       54         19          43         1             0
                            Stade      117         47         147         0             0
                           Uelzen       25          5           8         0             0
