                          District 28031746  Recovered  Quarantine  Critical  Total Deaths
                      Dithmarschen       24          0          11         0             0
                         Flensburg       21          0         121         0             0
               Herzogtum Lauenburg       80          0           0         0             1
                              Kiel       74          0         658         9             1
                            Lübeck       69          1           0         0             1
                        Neumünster       15          0          48         2             0
                     Nordfriesland       32          0         216         0             0
                       Ostholstein       23          0           0         0             0
                         Pinneberg      178          1           0        21             1
                              Plön       50          0           0         1             1
             Rendsburg-Eckernförde      100          0           0        17             0
               Schleswig-Flensburg       55          1           0         0             0
                          Segeberg       63          6           0         0             0
                         Steinburg       36          0           0         0             1
                          Stormarn      113          2         109         2             0
                           Hamburg    1.935          0           0       163             4
                         Ammerland       64         14         150         0             0
                            Aurich       49         18         135         0             1
                      Braunschweig      109         13           0         3             0
                             Celle       70         15         169         1             0
                       Cloppenburg       27          0         185         1             0
                          Cuxhaven       49          7           0         2             0
                       Delmenhorst       17          5          74         0             1
                          Diepholz      126         46           0        24             0
                             Emden        7          2          43         2             0
                           Emsland      136         16         630         0             1
                         Friesland       10          1           0         0             0
                           Gifhorn       53          0         116         0             0
                            Goslar       51          5         222         3             0
                         Göttingen      127          0           0         0             0
               Grafschaft Bentheim       76          1         500         0             0
                    Hameln-Pyrmont       46          6         140         6             1
                           Harburg      138         23           0         0             1
                        Heidekreis       21          0           0         1             0
                         Helmstedt       45          3         164         0             0
                        Hildesheim      152         34         494         5             0
                        Holzminden       44         11           0         0             0
                              Leer       28          5         226         2             1
                 Lüchow-Dannenberg        9          0          53         0             0
                          Lüneburg       82          3           0         2             0
                  Nienburg (Weser)       25          8          93         3             0
                          Northeim       33          6           0         0             0
                         Oldenburg       60          5         251         0             0
                  Oldenburg (Oldb)       91          0         320         4             0
                         Osnabrück      208         65         629        26             0
                         Osnabrück      256         50         952         0             1
                         Osterholz       42          6          96         0             0
                             Peine       47          5         219         0             0
                   Region Hannover      692          0           0       102             4
                 Rotenburg (Wümme)       50          7         120         4             1
                        Salzgitter       45          0          45         0             1
                        Schaumburg       52          0          43         1             0
                             Stade      105         26         243         0             0
                            Uelzen       23          2           8         0             0
                            Vechta      128          0         434         3             1
                            Verden       50          9           0         0             0
                       Wesermarsch       38          0           0         2             0
                     Wilhelmshaven        6          3           0         0             0
                          Wittmund       14          1         128         0             0
                      Wolfenbüttel       32          0           0         0             0
                         Wolfsburg      122          0           0         6            12
                            Bremen      247         48         138        14             2
                       Bremerhaven       16          5           0         1             0
                         Bielefeld      146         24           0        10             0
                            Bochum      219         21           0        23             4
                              Bonn      241          6         671         7             1
                            Borken      424         58           0         0             4
                           Bottrop       32          5         184         0             1
                          Coesfeld      274         36           0        17             1
                          Dortmund      256         81           0         1             0
                          Duisburg      245          0         680        27             1
                             Düren      217         57           0        26             1
                        Düsseldorf      342         39         442        56             2
                 Ennepe-Ruhr-Kreis      119         23           0         0             1
                             Essen      360         25           0         0             6
                        Euskirchen      101          7         311         6             0
                     Gelsenkirchen       85          4           0         6             0
                         Gütersloh      335         65           0        19             1
                             Hagen       62         10           0         0             2
                              Hamm      142         22         779        15             1
                         Heinsberg    1.202        360          71         0            30
                           Herford      138         11           0         2             0
                             Herne       45          6           0         2             0
                Hochsauerlandkreis      229         37           0        27             0
                            Höxter       55          2           0         0             0
                             Kleve      211          0         770         9             2
                              Köln    1.161          0           0        43             7
                           Krefeld      185          0           0        13             1
                        Leverkusen       88          0           0         0             0
                             Lippe      278         28           0         0             2
                  Märkischer Kreis       89         15         216         0             0
                          Mettmann      305          0         528         0             4
                   Minden-Lübbecke      246         64           0        10             0
                   Mönchengladbach      168         33         426         0             1
               Mülheim an der Ruhr       62         16         495         0             0
                           Münster      414        101           0         0             2
              Oberbergischer Kreis      180         18         290        13             1
                        Oberhausen       61          0         222         0             0
                              Olpe       93          3           0         0             0
                         Paderborn      172         17         800         6             0
                    Recklinghausen      312         76           0         0             0
                         Remscheid       52         11         329         4             1
                  Rhein-Erft-Kreis      296         12           0        28             1
                 Rhein-Kreis Neuss      282         17         942         0             4
                  Rhein-Sieg-Kreis      490         24           0         0             2
        Rheinisch-Bergischer Kreis      171         32           0         0             1
               Siegen-Wittgenstein       97         17           0         0             1
                             Soest      156         28           0        18             0
                          Solingen       81          6         383         6             0
               Städteregion Aachen      787          0           0         0            14
                         Steinfurt      353         54           0         0             1
                              Unna      185          0           0        24             1
                           Viersen      249         30         419         0             1
                         Warendorf      286         22         500         0             1
                             Wesel      208          0           0         0             2
                         Wuppertal      172          0           0         6             2
                        Bergstraße      141         17           0         2             0
                         Darmstadt       58          0           0         2             1
                 Darmstadt-Dieburg      148          0           0         0             1
                 Frankfurt am Main      330          0           0         0             2
                             Fulda      134          0           0         0             0
                            Gießen      112          7           0         4             0
                        Groß-Gerau      151          0           0         0             0
                Hersfeld-Rotenburg       44         12           0         0             0
                   Hochtaunuskreis      129          0           0         0             0
                            Kassel       75          9          38         8             0
                            Kassel       77          6          33         6             0
                   Lahn-Dill-Kreis      138          0           0         0             0
                  Limburg-Weilburg      147          0           0         0             0
                 Main-Kinzig-Kreis      120         11           0        10             1
                 Main-Taunus-Kreis      114         37           0         0             1
                Marburg-Biedenkopf      110         30           0         5             0
                     Odenwaldkreis       53          0           0         9             0
                         Offenbach      160          9           0        16             2
                 Offenbach am Main       21          3          11         0             1
             Rheingau-Taunus-Kreis       89          0           0         0             0
                Schwalm-Eder-Kreis      149          0           0         0             0
                   Vogelsbergkreis       45          5           6         1             0
               Waldeck-Frankenberg       55          0           0         0             0
               Werra-Meißner-Kreis       14          3         100         0             0
                     Wetteraukreis       84          0           0         0             0
                         Wiesbaden      148          0           0         0             1
                         Ahrweiler       61          0         357         0             1
         Altenkirchen (Westerwald)       39          8           0         1             0
                       Alzey-Worms       75         11           0         3             0
                      Bad Dürkheim      146          0           0         0             2
                     Bad Kreuznach       90          0           0         5             0
               Bernkastel-Wittlich       45          8           0         1             0
                        Birkenfeld       33          0         550         5             0
                       Cochem-Zell       90          0           0         0             0
                  Donnersbergkreis       53          1         289         2             1
           Eifelkreis Bitburg-Prüm       79         12           0         0             0
               Frankenthal (Pfalz)       18          0           0         0             0
                       Germersheim       56          0           0         0             1
                    Kaiserslautern       53          1           0         3             0
                    Kaiserslautern       59          0           0         0             0
                           Koblenz      138          0           0         0             3
                             Kusel       35          0           0         0             0
               Landau in der Pfalz       29          0           0         0             0
             Ludwigshafen am Rhein       54          0           0         0             0
                             Mainz      144          0           0         0             0
                      Mainz-Bingen      103          0           0         0             0
                     Mayen-Koblenz      190          0           0         0             1
        Neustadt an der Weinstraße       45          0           0         0             1
                           Neuwied      123          0           0         0             1
                         Pirmasens       12          0           0         0             0
              Rhein-Hunsrück-Kreis       89          0           0         0             0
                  Rhein-Lahn-Kreis       80          0           0         3             2
                 Rhein-Pfalz-Kreis       67          0           0         0             0
                            Speyer       22          0          54         0             0
               Südliche Weinstraße       64          0           0         0             0
                      Südwestpfalz       38          0           0         0             0
                             Trier       37          1           0         7             0
                    Trier-Saarburg       50          0           0         0             0
                       Vulkaneifel       39          8           0         0             0
                   Westerwaldkreis      130          0           0         0             2
                             Worms       61          1           0         0             0
                       Zweibrücken        9          0           0         0             0
                   Alb-Donau-Kreis      197          0           0         0             1
                       Baden-Baden       64         23           0         0             2
                          Biberach      200          0           0         0             2
                         Böblingen      473         10           0        24             8
                     Bodenseekreis      186         56         457         6             0
          Breisgau-Hochschwarzwald      330          0           0         0             5
                              Calw      265          0           0         0             3
                       Emmendingen      191          0           0         0             7
                          Enzkreis       77          0           0         0             1
                         Esslingen      648          0           0         0             6
              Freiburg im Breisgau      335          0           0         0             6
                      Freudenstadt      149          0          13         3             0
                         Göppingen      331          0           0        44             5
                        Heidelberg      143         35         358         0             0
                        Heidenheim      169         16           0         0             4
                         Heilbronn      104          0           0         0             0
                         Heilbronn      331         44           0         0             5
                    Hohenlohekreis      350          0           0         0             3
                         Karlsruhe      144         25           0         0             2
                         Karlsruhe      308         34           0         0             1
                          Konstanz      145         14         111        12             1
                           Lörrach      170          9           0         0             3
                       Ludwigsburg      594          6           0        40             2
                 Main-Tauber-Kreis       97         23           0         4             0
                          Mannheim      196         29           0         0             0
             Neckar-Odenwald-Kreis       72          0           0         0             1
                      Ortenaukreis      214          9           0         0             5
                       Ostalbkreis      390          0           0         0             0
                         Pforzheim       29          0           0         0             0
                           Rastatt      249         10           0         0             0
                        Ravensburg      320         35           0         0             0
                   Rems-Murr-Kreis      353          2           0         0             3
                        Reutlingen      235          7           0         0             5
                Rhein-Neckar-Kreis      489         95           0         0             4
                          Rottweil      108          0           2         0             2
                   Schwäbisch Hall      347         33           0         0            10
            Schwarzwald-Baar-Kreis      153          0          80         0             2
                       Sigmaringen      302         32           0         0             2
                         Stuttgart      635          8           0         0             5
                          Tübingen      591          0           0        19             2
                        Tuttlingen       85          0          33         7             2
                               Ulm      105          0           0         0             0
                          Waldshut       73          4           0         0             1
                   Zollernalbkreis      271         21           0        19             4
                 Aichach-Friedberg       94          5         325         0             0
                         Altötting       97          0           0         0             1
                            Amberg        9          0           0         0             0
                   Amberg-Sulzbach       56          0          60         0             3
                           Ansbach       21          0           0         0             0
                           Ansbach      120          0           0         0             0
                     Aschaffenburg       42          0           0         0             0
                     Aschaffenburg      103          0           0         0             1
                          Augsburg      136         24           0         0             2
                          Augsburg      152          0           0         0             0
                     Bad Kissingen       54          1         251         0             0
           Bad Tölz-Wolfratshausen      135          3          54         4             0
                           Bamberg       65          0           0         0             0
                           Bamberg      151          6           0         4             1
                          Bayreuth       56          0           0        26             0
                          Bayreuth      101          0           0         0             2
              Berchtesgadener Land       65          4         300         5             0
                              Cham      141          0           0         1             0
                            Coburg       17          0          10         0             0
                            Coburg       44          0          27         0             0
                            Dachau      249         23           0         0             0
                        Deggendorf      111          0           0         2             0
              Dillingen a.d. Donau       33          0          36         0             1
                 Dingolfing-Landau       77          2           0         2             0
                        Donau-Ries       67          0           0         0             0
                         Ebersberg      150         27         356        11             0
                         Eichstätt       53          0         230         0             0
                            Erding      245          0           0        22             0
                          Erlangen       66          0           0         0             0
                Erlangen-Höchstadt       52          0           0         0             0
                         Forchheim       73          0           0         0             0
                          Freising      397         80           0         0             7
                  Freyung-Grafenau       62          0         400         7             1
                  Fürstenfeldbruck      275          0           0         0             2
                             Fürth       52          0           0         0             0
                             Fürth       73          0           0         0             2
            Garmisch-Partenkirchen       89          0           0         0             0
                          Günzburg       77          0         318         0             0
                          Haßberge       38          0         257         0             0
                               Hof       24          1           0         0             0
                               Hof       85          3           0         0             0
                        Ingolstadt       55          4           0         0             0
                        Kaufbeuren       18          0           0         0             0
                           Kelheim      101          0         248         0             2
                  Kempten (Allgäu)       38          0           0         0             1
                         Kitzingen       29          1          91         0             0
                           Kronach       46          0         165         0             0
                          Kulmbach       69          0           0        10             0
                 Landsberg am Lech      110          0           0         0             0
                          Landshut       81          0           0         0             0
                          Landshut      206          0           0         0             5
                       Lichtenfels       57          0           0         0             0
                 Lindau (Bodensee)      100          0           0         0             0
                     Main-Spessart       49          0         322         0             1
                         Memmingen       26          0           0         0             0
                          Miesbach      240         34           0         6             0
                        Miltenberg       79          5           0         1             0
                   Mühldorf a. Inn      104          1           0        21             0
                           München    2.080          4           0         0             3
                           München      539          0           0         0             3
                           Neu-Ulm      121          0           0         7             0
            Neuburg-Schrobenhausen       62          0           0         0             0
                Neumarkt i.d. OPf.       69          9           0         0             1
 Neustadt a.d. Aisch-Bad Windsheim       43          0           0         0             0
            Neustadt a.d. Waldnaab      125          0           0         0             2
                          Nürnberg      213         23           0         4             1
                   Nürnberger Land      154          0           0        18             3
                        Oberallgäu       87          0           0         0             2
                         Ostallgäu      116          0           0         0             2
                            Passau       27          0         100        11             0
                            Passau       93          0           0         0             1
             Pfaffenhofen a.d. Ilm       74          6         317         0             0
                             Regen       40          0           0         0             0
                        Regensburg      146          0           0         0             0
                        Regensburg      132          0           0         0             0
                     Rhön-Grabfeld       37          2          21         4             0
                         Rosenheim      111          0           0         0             0
                         Rosenheim      630          0           0        45             3
                              Roth       69          0           0         0             1
                        Rottal-Inn      192          6         400         9             0
                         Schwabach       18          0           0         0             0
                        Schwandorf       92          0         280        20             1
                       Schweinfurt       19          0         250         4             2
                       Schweinfurt       92          8         250         6             0
                         Starnberg      233          0           0        29             1
                         Straubing       69          0           0         0             0
                   Straubing-Bogen       73          0           0         0             0
                     Tirschenreuth      343          0           0         0             9
                        Traunstein      199         11           0        24             3
                       Unterallgäu      113          5           0         4             2
                  Weiden i.d. OPf.       55          0           0         0             0
                 Weilheim-Schongau      163          0          70        20             1
           Weißenburg-Gunzenhausen       82          0           0         0             0
       Wunsiedel i. Fichtelgebirge      142          0           0         0             2
                          Würzburg      217          0         851         0            12
                          Würzburg      172          0         436         0             0
                     Merzig-Wadern       41          0           0         0             0
                       Neunkirchen       78          0           0         0             0
       Regionalverband Saarbrücken      250         27           0       100             4
                         Saarlouis       96          0           0         0             1
                   Saarpfalz-Kreis      115          0           0         0             1
                        St. Wendel       73          0           0         0             0
                            Berlin    2.162        645           0       314             8
                            Barnim       65          0         400         4             0
          Brandenburg an der Havel       15          0           0         0             0
                           Cottbus       30         11         210         1             0
                   Dahme-Spreewald       59          2         119         4             0
                       Elbe-Elster       27          2           0         1             0
                  Frankfurt (Oder)        6          0          59         0             0
                         Havelland       42          0           0         3             0
                 Märkisch-Oderland       71          7         686        11             0
                         Oberhavel       84          4         647         6             1
             Oberspreewald-Lausitz       14          1         240         0             0
                        Oder-Spree       69          5          46         4             0
                Ostprignitz-Ruppin       11          0           0         0             0
                           Potsdam      108          0         550        35             3
                Potsdam-Mittelmark       93          0         124         4             0
                          Prignitz        9          0           0         0             0
                       Spree-Neiße       40          6         131         1             0
                    Teltow-Fläming       40          4          83         2             0
                         Uckermark        9          0           0         3             0
               Ludwigslust-Parchim       31          0           0         0             1
       Mecklenburgische Seenplatte       46          0           0         0             0
               Nordwestmecklenburg       25          0         535         0             0
                           Rostock       48          1           0         0             0
                           Rostock       25          3           0         0             0
                          Schwerin       56          2          87         0             0
             Vorpommern-Greifswald       46          0           0         0             0
                  Vorpommern-Rügen       33          5           0         0             0
                           Bautzen      156          9         957         3             1
                          Chemnitz       87          0           0         0             0
                           Dresden      314          0           0         0             2
                   Erzgebirgskreis       95          0           0         0             0
                           Görlitz       62          6         224         4             1
                           Leipzig      270          0           0        18             0
                           Leipzig       77          0         402         3             0
                            Meißen       60          0         412         6             1
                     Mittelsachsen       83          0         238         0             0
                       Nordsachsen       31          0         391         0             0
  Sächsische Schweiz-Osterzgebirge      130          2           0         0             0
                     Vogtlandkreis       93          0           0         0             1
                           Zwickau      286          0         655        14             3
            Altmarkkreis Salzwedel       12          0          95         2             0
                 Anhalt-Bitterfeld       30          0         190         0             0
                             Börde       50          2           0         0             0
                   Burgenlandkreis       27          3         159         0             0
                     Dessau-Roßlau       20          0           0         0             0
                     Halle (Saale)      137          0           0        34             1
                              Harz       49          0         259         0             0
                   Jerichower Land       16          0          94         0             0
                         Magdeburg       71          0           0         0             0
                  Mansfeld-Südharz       16          0         156         0             0
                        Saalekreis       56          0         220         0             0
                     Salzlandkreis       37          7         132         0             0
                           Stendal       39          0         270         0             1
                        Wittenberg       65          0          54         5             0
                  Altenburger Land       19          5           0         1             0
                         Eichsfeld       45          1           0         3             1
                          Eisenach        4          1           4         1             0
                            Erfurt       72         15         813         0             0
                              Gera       14          1           0         0             0
                             Gotha       20          0           0         0             0
                             Greiz      111          8           0         8             2
                    Hildburghausen        7          0           0         0             0
                         Ilm-Kreis       51          3         463         0             1
                              Jena      114          5           0         7             1
                   Kyffhäuserkreis       19          6           0         3             0
                        Nordhausen       10          1           0         2             0
              Saale-Holzland-Kreis       22          7         325         2             0
                  Saale-Orla-Kreis       27          3           0         3             0
               Saalfeld-Rudolstadt       33          3         220         1             0
            Schmalkalden-Meiningen       27          4           0         0             0
                          Sömmerda       22          2           6         2             0
                         Sonneberg       20          1           0         0             0
                              Suhl        5          1         552         1             0
             Unstrut-Hainich-Kreis       10          1         361         3             0
                     Wartburgkreis       17          4         135         2             0
                            Weimar       27          5           0         1             0
                     Weimarer Land       18          3           0         2             1
