                         District 02041628  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       29          5          11         0             1
                        Flensburg       25          8         117         0             0
              Herzogtum Lauenburg      115          0           0         0             1
                             Kiel      136         13         342         0             1
                           Lübeck       98          0           0         0             1
                       Neumünster       29          0          69         0             0
                    Nordfriesland       43          7         183         0             0
                      Ostholstein       43          0           0         0             0
                        Pinneberg      250          1           0         0             2
                             Plön       64          0           0         0             2
            Rendsburg-Eckernförde      137          0           0         0             3
              Schleswig-Flensburg       87          4         800         0             0
                         Segeberg      109         35           0         0             0
                        Steinburg       51          7           0         0             1
                         Stormarn      155         13         123         0             1
                          Hamburg     2557       1000           0        44            14
                        Ammerland       93         26         241         0             1
                           Aurich       67         34         153         0             2
                     Braunschweig      189         43           0         0             1
                            Celle      102         36         174         2             0
                      Cloppenburg       38         12         194         0             0
                         Cuxhaven       59         23           0         1             0
                      Delmenhorst       24          6          51         0             1
                         Diepholz      166         72         300         7             3
                            Emden        8          3          18         0             0
                          Emsland      175         49         540         0             3
                        Friesland       18          1           0         0             0
                          Gifhorn       83          0         192         0             0
                           Goslar       60         14         184         0             3
                        Göttingen      254          0        1573         0             0
              Grafschaft Bentheim      109         27         390         0             1
                   Hameln-Pyrmont       79         18         154         0             2
                          Harburg      217         43           0         0             1
                       Heidekreis       33         10           0         0             0
                        Helmstedt       73         21         164         0             0
                       Hildesheim      177         90         372         0             1
                       Holzminden       70         17           0         0             1
                             Leer       48          9         123         0             1
                Lüchow-Dannenberg       11          4          53         0             0
                         Lüneburg      108         41           0         0             0
                 Nienburg (Weser)       39         13         342         0             0
                         Northeim       49         15           0         0             0
                        Oldenburg      136         32         308         0             1
                 Oldenburg (Oldb)      130          2         584         0             0
                        Osnabrück      269        127         184        17             1
                        Osnabrück      361        119         429         0             6
                        Osterholz       55         21         113         0             0
                            Peine       99         20          77         0             2
                  Region Hannover      959        190           0        48             9
                Rotenburg (Wümme)       63         22         148         0             1
                       Salzgitter       61         30         616         0             1
                       Schaumburg       62         28          43         0             0
                            Stade      127         59         130         0             0
                           Uelzen       26          6           8         0             0
                           Vechta      196          0         729         0             2
                           Verden       82         22           0         0             1
                      Wesermarsch       45         11           0         0             0
                    Wilhelmshaven        7          7          23         0             0
                         Wittmund       16          3          72         0             0
                     Wolfenbüttel       60          0           0         0             0
                        Wolfsburg      190          0           0         3            22
                           Bremen      308         84         138         3             6
                      Bremerhaven       22          9           0         0             0
                        Bielefeld      188         43        2317         5             0
                           Bochum      285         45         650        10             7
                             Bonn      316         78         742        15             1
                           Borken      547        150           0         0             8
                          Bottrop       47         13         143         0             1
                         Coesfeld      361        109           0         0             7
                         Dortmund      334        137           0         3             1
                         Duisburg      338         72         911         0             2
