                         District 02040848  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       28          5          11         0             0
                        Flensburg       25          8         117         0             0
              Herzogtum Lauenburg      112          0           0         0             1
                             Kiel      124          0         342         0             1
                           Lübeck       97          0           0         0             1
                       Neumünster       25          0          69         0             0
                    Nordfriesland       42          7         183         0             0
                      Ostholstein       39          0           0         0             0
                        Pinneberg      250          1           0         0             2
                             Plön       58          0           0         0             2
            Rendsburg-Eckernförde      128          0           0         0             2
              Schleswig-Flensburg       87          4         800         0             0
                         Segeberg      108         35           0         0             0
                        Steinburg       43          0           0         0             1
                         Stormarn      155         13         123         0             1
                          Hamburg     2437        860           0        45             8
                        Ammerland       93         26         241         0             1
                           Aurich       64         34         153         0             2
                     Braunschweig      169         43           0         0             1
                            Celle      102         36         174         2             0
                      Cloppenburg       38         12         194         0             0
                         Cuxhaven       56         23           0         1             0
                      Delmenhorst       24          6          51         0             1
                         Diepholz      166         72         300         7             3
                            Emden       10          3          22         0             0
                          Emsland      165         43         620         0             3
                        Friesland       15          1           0         0             0
                          Gifhorn       77          0         192         0             0
                           Goslar       61         14         171         0             1
                        Göttingen      234          0        1573         0             0
              Grafschaft Bentheim      101         27         390         0             1
                   Hameln-Pyrmont       79         18         154         0             2
                          Harburg      208         43           0         0             1
                       Heidekreis       30         10           0         0             0
                        Helmstedt       69         21         164         0             0
                       Hildesheim      172         90         372         0             1
                       Holzminden       62         17           0         0             0
                             Leer       44          9         123         0             1
                Lüchow-Dannenberg       10          1          58         0             0
                         Lüneburg      100         23           0         0             0
                 Nienburg (Weser)       38         13         342         0             0
                         Northeim       42         10           0         0             0
                        Oldenburg      119         32         308         0             1
                 Oldenburg (Oldb)      116          2         549         0             0
                        Osnabrück      267        115         235        17             3
                        Osnabrück      331        103         489         0             3
                        Osterholz       55         21         113         0             0
                            Peine       94         14          82         0             0
                  Region Hannover      911        190           0        48             8
                Rotenburg (Wümme)       58         21         132         0             1
                       Salzgitter       58         24         458         0             1
                       Schaumburg       59         24          43         0             0
                            Stade      123         58         148         0             0
                           Uelzen       26          6           8         0             0
                           Vechta      194          0         729         0             1
                           Verden       80         13           0         0             1
                      Wesermarsch       43          9           0         0             0
                    Wilhelmshaven        7          7          23         0             0
                         Wittmund       15          3          72         0             0
                     Wolfenbüttel       55          0           0         0             0
                        Wolfsburg      184          0           0         3            22
                           Bremen      308         84         138         3             6
                      Bremerhaven       22          9           0         0             0
                        Bielefeld      177         36        2317         5             0
                           Bochum      285         45         650        10             7
                             Bonn      305         62         742        15             1
                           Borken      525        150           0         0             8
                          Bottrop       45         11         143         0             1
                         Coesfeld      358         91           0         0             6
                         Dortmund      333        137           0         3             0
                         Duisburg      338         72         911         0             2
                            Düren      282        101           0         0             4
                       Düsseldorf      496        107         460        33             4
                Ennepe-Ruhr-Kreis      218         65         652         1             1
                            Essen      424        154         894         0             7
                       Euskirchen      145         48         188         3             2
                    Gelsenkirchen      129         20           0         0             1
                        Gütersloh      401        141         248         6             2
                            Hagen       82         34           0         0             2
                             Hamm      175         54         892         0             3
                        Heinsberg     1373        659          71         0            38
                          Herford      176         52           0         0             1
                            Herne       64         27           0         0             0
               Hochsauerlandkreis      312         95           0         7             1
                           Höxter       72          8           0         0             0
                            Kleve      260         98        1089         0             2
                             Köln     1540        619           0        54            18
                          Krefeld      225         53        1201         6             1
                       Leverkusen      127         16         106         0             0
                            Lippe      347         56           0         0             3
                 Märkischer Kreis      146         19         375         0             1
                         Mettmann      451        118         505         0             7
                  Minden-Lübbecke      340        124           0         1             0
                  Mönchengladbach      217         80         456         0             1
              Mülheim an der Ruhr       86         41         327         0             2
                          Münster      503        190           0         0             2
             Oberbergischer Kreis      280         64         186         3             2
                       Oberhausen       78         26         112         0             0
                             Olpe      166         78         453         7             1
                        Paderborn      291         40         800         2             3
                   Recklinghausen      417        134           0         0             1
                        Remscheid       69         32         456         2             1
                 Rhein-Erft-Kreis      400        104        1194        17             4
                Rhein-Kreis Neuss      396        161         942         0             6
                 Rhein-Sieg-Kreis      619         85        2500         0             2
