                         District 30031346  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       24          0          11         0             0
                        Flensburg       22          0         121         0             0
              Herzogtum Lauenburg       80          0           0         0             1
                             Kiel      113          0         658         9             1
                           Lübeck       77          0           0         0             1
                       Neumünster       15          0          48         2             0
                    Nordfriesland       39          8         216         0             0
                      Ostholstein       23          0           0         0             0
                        Pinneberg      194          1           0        21             2
                             Plön       54          0           0         1             1
            Rendsburg-Eckernförde      112          0           0        17             1
              Schleswig-Flensburg       67          2           0         0             0
                         Segeberg       80         14           0         0             0
                        Steinburg       36          0           0         0             1
                         Stormarn      120          7         101        12             0
                          Hamburg     2078          0           0       163             5
                        Ammerland       77         14         184         0             0
                           Aurich       49         18         134         0             1
                     Braunschweig      143         43           0         3             0
                            Celle       72         15         169         1             0
                      Cloppenburg       31          5         185         1             0
                         Cuxhaven       53          7           0         2             0
                      Delmenhorst       17          5          74         0             1
                         Diepholz      126         46           0        24             0
                            Emden        9          2          40         1             1
                          Emsland      146         29         610         0             1
                        Friesland       10          1           0         0             0
                          Gifhorn       62          0         192         0             0
                           Goslar       51          5         222         3             0
                        Göttingen      158          0           0         0             0
              Grafschaft Bentheim       84          1         470         0             0
                   Hameln-Pyrmont       70          9         140         6             2
                          Harburg      154         34           0         0             1
                       Heidekreis       25          0           0         1             0
                        Helmstedt       53          3         164         0             0
                       Hildesheim      152         34         494         5             0
                       Holzminden       47         17           0         0             0
                             Leer       34          5         144         1             1
                Lüchow-Dannenberg        9          0          53         0             0
                         Lüneburg       82          3           0         2             0
                 Nienburg (Weser)       27          8         124         3             0
                         Northeim       33          6           0         0             0
                        Oldenburg       96          5         251         0             0
                 Oldenburg (Oldb)       91          0         320         4             0
                        Osnabrück      224         83         687        49             0
                        Osnabrück      279         69        1068         0             1
                        Osterholz       42          6          96         0             0
                            Peine       62          5         219         0             0
                  Region Hannover      738          0           0       102             4
                Rotenburg (Wümme)       55         17         125         6             1
                       Salzgitter       45          0          45         0             1
                       Schaumburg       53          0          43         2             0
                            Stade      109         33         176         0             0
                           Uelzen       24          2           8         0             0
                           Vechta      133          0         456         3             1
                           Verden       57          9           0         0             0
                      Wesermarsch       39          0           0         2             0
                    Wilhelmshaven        6          3           0         0             0
                         Wittmund       16          3         109         0             0
                     Wolfenbüttel       32          0           0         0             0
                        Wolfsburg      145          0           0         6            15
                           Bremen      270         48         138        14             2
                      Bremerhaven       20          5           0         1             0
                        Bielefeld      146         24        2041        10             0
                           Bochum      245         24           0        28             5
                             Bonn      268         13         770         7             1
                           Borken      443         75           0         0             5
                          Bottrop       38         10         184         0             1
                         Coesfeld      304         48           0        17             1
                         Dortmund      259        114           0         1             0
                         Duisburg      281         40         680        27             1
                            Düren      243         57           0        26             1
                       Düsseldorf      363         52         536        89             2
                Ennepe-Ruhr-Kreis      175         33        1726         8             1
                            Essen      399         76        1001         0             6
                       Euskirchen      124         20         311        10             2
                    Gelsenkirchen       96          4           0         6             0
                        Gütersloh      362        103         248        27             1
                            Hagen       81         26           0         0             2
                             Hamm      153         33         819        16             1
                        Heinsberg     1258        491          71         0            32
                          Herford      144         20           0         2             0
                            Herne       55          7           0         2             0
               Hochsauerlandkreis      244         38           0        27             0
                           Höxter       66          3           0         0             0
                            Kleve      237          0         770         9             2
                             Köln     1319          0           0        43            11
                          Krefeld      210          0           0        13             1
                       Leverkusen      102          0           0         0             0
                            Lippe      289         35           0         0             2
                 Märkischer Kreis      118         15         216         0             0
                         Mettmann      361          0         528         0             5
                  Minden-Lübbecke      268         92           0         5             0
                  Mönchengladbach      178         47         423         0             1
              Mülheim an der Ruhr       73         19         456         0             1
                          Münster      443        101           0         0             2
             Oberbergischer Kreis      222         42         356        21             2
                       Oberhausen       68          9         136         0             0
                             Olpe      123          3           0         0             0
                        Paderborn      194         20         800        13             1
                   Recklinghausen      331         78           0         0             1
                        Remscheid       58         11         329         6             1
                 Rhein-Erft-Kreis      340         51        2626        28             1
                Rhein-Kreis Neuss      349         70         942         0             5
