                         District 01041528  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       27          5          11         0             0
                        Flensburg       25          8         121         0             0
              Herzogtum Lauenburg      112          0           0         0             1
                             Kiel      124          0         342        15             1
                           Lübeck       97          0           0         0             1
                       Neumünster       25          0          55         1             0
                    Nordfriesland       41          8         216         0             0
                      Ostholstein       39          0           0         0             0
                        Pinneberg      233          1           0        27             2
                             Plön       58          0           0         1             2
            Rendsburg-Eckernförde      128          0           0        17             2
              Schleswig-Flensburg       75          3         800         0             0
                         Segeberg       93         28           0         0             0
                        Steinburg       43          0           0         0             1
                         Stormarn      147         12         121        14             1
                          Hamburg     2437        860           0       180             8
                        Ammerland       88         17         228         0             1
                           Aurich       61         30         161         0             2
                     Braunschweig      169         43           0        30             1
                            Celle       98         31         184         6             0
                      Cloppenburg       38         11         194         0             0
                         Cuxhaven       55         19           0         3             0
                      Delmenhorst       23          5          53         0             1
                         Diepholz      155         86           0        19             3
                            Emden        8          3          22         0             0
                          Emsland      165         43         620         0             3
                        Friesland       12          1           0         0             0
                          Gifhorn       78          0         192         0             0
                           Goslar       61         12         184         4             1
                        Göttingen      229          0        1517         0             0
              Grafschaft Bentheim      101         26         360         0             1
                   Hameln-Pyrmont       73         13         151         8             2
                          Harburg      168         41           0         0             1
                       Heidekreis       28         10           0         1             0
                        Helmstedt       69         21         164         0             0
                       Hildesheim      168         75         388         7             0
                       Holzminden       62         17           0         0             0
                             Leer       44          7         145         2             1
                Lüchow-Dannenberg        9          1          57         0             0
                         Lüneburg      100         23           0         3             0
                 Nienburg (Weser)       36         12         311         3             0
                         Northeim       42         10           0         0             0
                        Oldenburg      113         23         303         0             1
                 Oldenburg (Oldb)      116          0         549         4             0
                        Osnabrück      264        115         230        72             3
                        Osnabrück      346        103         465         0             3
                        Osterholz       50         19         142         1             0
                            Peine       90         12          82         0             0
                  Region Hannover      867        149           0       143             6
                Rotenburg (Wümme)       58         21         132         7             1
                       Salzgitter       58          0          45         0             1
                       Schaumburg       59         24          43         1             0
                            Stade      123         58         148         0             0
                           Uelzen       26          6           8         0             0
                           Vechta      189          0         674         3             1
                           Verden       73         13           0         0             0
                      Wesermarsch       43          9           0         2             0
                    Wilhelmshaven        7          6          23         0             0
                         Wittmund       15          3          84         0             0
                     Wolfenbüttel       47          0           0         0             0
                        Wolfsburg      182          0           0         8            22
                           Bremen      292         68         138        14             5
                      Bremerhaven       23          9           0         1             0
                        Bielefeld      177         36        2317        14             0
                           Bochum      279         42         642        36             7
                             Bonn      294         42         747         7             1
                           Borken      497        103           0         0             7
                          Bottrop       44         11         143         0             1
                         Coesfeld      339         76           0        17             6
                         Dortmund      304        129           0         7             0
                         Duisburg      317         67         680        32             2
                            Düren      269         78           0        26             4
                       Düsseldorf      469        107         536        89             4
