                         District 04041458  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       37         11         332         0             1
                        Flensburg       31         10         138         0             0
              Herzogtum Lauenburg      147          0           0         0             2
                             Kiel      157         39         453         0             1
                           Lübeck      103          0           0         0             1
                       Neumünster       30          0          69         0             0
                    Nordfriesland       48          9         183         0             1
                      Ostholstein       51          0           0         0             0
                        Pinneberg      304          1           0         0             3
                             Plön       72          0           0         0             2
            Rendsburg-Eckernförde      158          0           0         0             4
              Schleswig-Flensburg       93         15         800         0             0
                         Segeberg      134         43           0         0             0
                        Steinburg       53          7           0         0             1
                         Stormarn      175         17         125         0             2
                          Hamburg     2882       1400           0        52            16
                        Ammerland      103         35         220         0             1
                           Aurich       71         37         157         0             2
                     Braunschweig      216         44           0         0             3
                            Celle      110         51         186         1             4
                      Cloppenburg       46         17         149         0             0
                         Cuxhaven       63         38           0         0             2
                      Delmenhorst       25          8          46         1             1
                         Diepholz      211         78         250         6             4
                            Emden        8          3          21         0             0
                          Emsland      191         51         600         0             3
                        Friesland       20          6           0         0             0
                          Gifhorn       92          0         192         0             0
                           Goslar       70         14         183         0             3
                        Göttingen      312         21        1738         0             2
              Grafschaft Bentheim      130         28           0         0             1
                   Hameln-Pyrmont       83         29         160         0             2
                          Harburg      265         49           0         0             1
                       Heidekreis       36         12           0         0             0
                        Helmstedt       78         23         164         0             0
                       Hildesheim      190        113         297         0             1
                       Holzminden       75         33           0         0             1
                             Leer       54         15         122         0             1
                Lüchow-Dannenberg       12          6          48         0             0
                         Lüneburg      118         60           0         0             0
                 Nienburg (Weser)       42         14         380         0             0
                         Northeim       53         18           0         0             0
                        Oldenburg      159         45         334         0             1
                 Oldenburg (Oldb)      143          2         584         0             0
                        Osnabrück      291        156          96        22             1
                        Osnabrück      420        153         361         0             6
                        Osterholz       57         29          76         0             0
                            Peine      108         22          88         0             2
                  Region Hannover     1039        270           0        50            10
                Rotenburg (Wümme)       67         25         158         0             1
                       Salzgitter       64         36         469         0             1
                       Schaumburg       71         29          43         0             0
                            Stade      141         89         125         0             1
                           Uelzen       28          9           8         0             0
                           Vechta      211         48         706         0             2
