                         District 02041958  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       33          9          11         0             1
                        Flensburg       25          8         117         0             0
              Herzogtum Lauenburg      115          0           0         0             1
                             Kiel      136         25         453         0             1
                           Lübeck       98          0           0         0             1
                       Neumünster       29          0          69         0             0
                    Nordfriesland       45          9         183         0             1
                      Ostholstein       43          0           0         0             0
                        Pinneberg      271          1           0         0             2
                             Plön       64          0           0         0             2
            Rendsburg-Eckernförde      137          0           0         0             3
              Schleswig-Flensburg       88         11         800         0             0
                         Segeberg      109         35           0         0             0
                        Steinburg       51          7           0         0             1
                         Stormarn      161         15         125         0             1
                          Hamburg     2557       1000           0        44            14
                        Ammerland       99         26         241         0             1
                           Aurich       69         34         168         0             2
                     Braunschweig      189         43           0         0             1
                            Celle      106         46         179         2             2
                      Cloppenburg       38         14         182         0             0
                         Cuxhaven       59         29           0         2             0
                      Delmenhorst       24          6          49         0             1
                         Diepholz      184         73         250         8             3
                            Emden        8          3          18         0             0
                          Emsland      175         49         540         0             3
                        Friesland       18          6           0         0             0
                          Gifhorn       87          0         192         0             0
                           Goslar       60         14         185         0             3
                        Göttingen      270          0        1601         0             2
              Grafschaft Bentheim      109         27         390         0             1
                   Hameln-Pyrmont       82         23         172         0             2
                          Harburg      228         46           0         0             1
                       Heidekreis       33         12           0         0             0
                        Helmstedt       76         23         164         0             0
                       Hildesheim      180        105         349         0             1
                       Holzminden       70         31           0         0             1
                             Leer       49          9         133         0             1
                Lüchow-Dannenberg       11          4          53         0             0
                         Lüneburg      108         41           0         0             0
                 Nienburg (Weser)       39         13         342         0             0
                         Northeim       49         15           0         0             0
                        Oldenburg      146         40         328         0             1
                 Oldenburg (Oldb)      130          2         584         0             0
                        Osnabrück      276        127         184        17             1
                        Osnabrück      361        119         429         0             6
                        Osterholz       56         24          76         0             0
                            Peine       99         20          77         0             2
                  Region Hannover      976        248           0        46             9
                Rotenburg (Wümme)       63         22         148         0             1
                       Salzgitter       61         30         616         0             1
                       Schaumburg       62         28          43         0             0
                            Stade      127         59         130         0             0
                           Uelzen       26          6           8         0             0
                           Vechta      200          0         669         0             2
                           Verden       82         22           0         0             1
                      Wesermarsch       45         11           0         0             0
                    Wilhelmshaven        7          7          23         0             0
                         Wittmund       16          3          72         0             0
                     Wolfenbüttel       60          0           0         0             0
                        Wolfsburg      195          0           0         3            24
                           Bremen      319        109         138         3             6
                      Bremerhaven       22         11           0         0             0
                        Bielefeld      188         43        2341         5             1
                           Bochum      301         50         650        12            10
                             Bonn      316         78         708        15             2
                           Borken      566        179           0         0             8
                          Bottrop       51         14         143         0             1
                         Coesfeld      372        109           0        10             7
                         Dortmund      360        146           0         3             1
                         Duisburg      354         98         949         0             2
                            Düren      285        116           0         0             6
                       Düsseldorf      543        171         380        33             4
                Ennepe-Ruhr-Kreis      226         68         652         4             1
                            Essen      429        154         784         0             7
                       Euskirchen      164         48         188         3             2
                    Gelsenkirchen      143         21           0         0             2
                        Gütersloh      432        161         248         6             2
                            Hagen       92         41           0         0             2
                             Hamm      217         67         953         0             4
                        Heinsberg     1417        693           0         0            39
                          Herford      194         55           0         0             1
                            Herne       66         32           0         0             0
               Hochsauerlandkreis      328        115           0         7             1
                           Höxter       78          8           0         0             1
                            Kleve      278        100        1157         0             3
                             Köln     1666        663           0        60            23
                          Krefeld      240         60        1201         6             1
                       Leverkusen      131         26         100         0             0
                            Lippe      393         61           0         0             3
                 Märkischer Kreis      165         17         665         0             2
                         Mettmann      475        151         505         0             7
